Date,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,72.89,61.26,78.16,0.74,-5.28,1.0,7.28,6.48,10.35,15.73
2025-11-09,82.0,54.41,91.13,4.04,-9.13,1.0,18.14,14.22,14.73,23.84
2025-11-10,83.88,44.2,93.05,4.18,-9.17,1.0,19.47,15.21,16.12,25.31
2025-11-11,85.74,42.12,93.69,2.49,-7.95,1.0,15.07,12.58,16.16,24.12
2025-11-12,87.26,46.77,95.14,0.1,-7.89,1.0,6.79,6.88,14.74,22.69
2025-11-13,89.92,50.26,95.41,0.05,-5.48,1.0,7.32,7.37,16.69,22.67
2025-11-14,91.9,58.06,96.42,-1.34,-4.52,1.0,5.99,7.37,17.5,22.5
2025-11-15,88.0,69.59,95.68,-1.15,-7.67,1.0,8.2,9.37,12.13,20.09
2025-11-16,83.71,61.14,94.72,2.53,-11.01,1.0,17.06,14.71,10.84,23.03
2025-11-17,86.07,55.91,94.42,2.44,-8.35,1.0,18.3,15.91,15.5,25.03
2025-11-18,89.5,54.31,95.6,2.15,-6.1,1.0,13.55,11.35,19.27,25.66
2025-11-19,93.68,54.92,99.89,1.13,-6.21,1.0,13.01,11.93,22.38,28.41
2025-11-20,95.56,57.32,99.9,0.03,-4.34,1.0,12.32,12.3,22.25,26.11
2025-11-21,96.54,59.85,99.74,-0.19,-3.2,1.0,11.82,12.02,20.82,23.51
2025-11-22,96.71,56.63,99.88,0.98,-3.17,1.0,13.34,12.6,17.84,21.57
2025-11-23,97.92,55.9,99.9,0.48,-1.98,1.0,12.86,12.55,16.31,19.44
2025-11-24,99.9,53.67,99.9,0.0,0.0,1.0,12.22,12.16,16.66,18.07
2025-11-25,99.89,58.4,99.89,0.0,0.0,1.0,7.08,6.98,12.18,16.4
2025-11-26,98.92,52.62,99.9,1.83,-0.98,1.0,15.13,13.36,8.27,18.15
2025-11-27,97.09,45.19,99.9,1.93,-2.81,1.0,16.11,14.71,6.46,19.38
2025-11-28,95.43,41.95,99.9,1.24,-4.47,1.0,15.45,14.53,3.77,18.96
2025-11-29,95.92,41.52,99.9,0.51,-3.98,1.0,13.8,13.0,4.2,18.73
2025-11-30,96.43,41.88,99.9,0.16,-3.47,1.0,12.66,12.69,4.96,19.12
2025-12-01,95.33,40.12,99.9,0.64,-4.57,1.0,15.16,14.37,4.03,18.29
2025-12-02,95.48,41.64,99.9,0.44,-4.42,1.0,14.62,14.16,4.03,18.2
2025-12-03,95.03,39.9,99.9,1.01,-4.87,1.0,16.75,15.62,3.9,17.86
2025-12-04,94.95,40.4,99.9,0.9,-4.95,1.0,15.26,14.4,3.25,17.32
2025-12-05,94.4,38.38,99.78,0.26,-5.37,1.0,16.45,16.03,2.56,16.58
2025-12-06,95.78,42.93,99.9,-0.9,-4.12,1.0,12.13,12.48,1.91,15.53
2025-12-07,94.75,43.53,99.9,0.29,-5.15,1.0,11.46,10.79,0.02,15.26
2025-12-08,93.69,39.76,99.9,1.28,-6.21,1.0,13.58,13.42,0.62,16.24
2025-12-09,94.63,39.6,99.9,0.3,-5.27,1.0,11.18,9.88,-0.54,14.36
2025-12-10,97.66,43.95,99.9,-0.1,-2.24,1.0,8.42,7.65,0.45,14.11
2025-12-11,95.45,43.07,99.9,-0.38,-4.45,1.0,12.04,12.99,0.05,14.42
2025-12-12,95.2,42.34,99.9,0.2,-4.7,1.0,12.08,11.72,-0.92,13.3
2025-12-13,93.51,39.93,99.9,1.64,-6.39,1.0,15.86,15.02,-1.81,14.26
2025-12-14,89.56,31.75,99.45,3.9,-9.89,1.0,29.12,25.67,-1.98,15.88
2025-12-15,91.39,30.87,98.64,1.8,-7.25,1.0,21.23,19.1,-1.11,13.83
2025-12-16,94.25,36.92,99.9,0.25,-5.65,1.0,12.2,11.41,-1.21,13.48
2025-12-17,95.7,43.57,99.9,-1.73,-4.2,1.0,7.17,8.1,-2.49,12.17
2025-12-18,96.95,49.6,99.9,-1.74,-2.95,1.0,6.45,7.39,-2.18,10.98
2025-12-19,96.09,43.26,99.9,1.4,-3.81,1.0,15.85,16.13,0.08,13.68
2025-12-20,95.57,40.31,99.9,1.05,-4.33,1.0,16.15,14.81,-1.48,11.37
