Date,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,78.16,63.71,60.08,-2.44,18.08,1.0,6.54,8.92,15.63,-2.35
2025-11-09,91.13,59.94,61.42,-5.53,29.71,1.0,14.09,19.75,23.87,-5.87
2025-11-10,93.05,52.8,59.8,-8.6,33.25,1.0,15.29,23.81,25.29,-7.95
2025-11-11,93.69,48.76,61.06,-6.64,32.62,1.0,12.58,19.22,24.1,-8.51
2025-11-12,95.14,49.82,63.49,-3.05,31.66,1.0,6.69,9.93,22.63,-8.96
2025-11-13,95.41,52.5,67.45,-2.25,27.96,1.0,7.27,9.62,22.17,-5.29
2025-11-14,96.42,57.16,71.37,0.9,25.05,1.0,7.33,6.47,22.02,-2.55
2025-11-15,95.68,68.35,72.99,1.24,22.69,1.0,9.34,8.14,19.8,-2.59
2025-11-16,94.72,65.88,66.35,-4.74,28.37,1.0,14.53,19.44,21.85,-5.33
2025-11-17,94.42,58.58,67.15,-2.67,27.26,1.0,15.86,18.58,23.84,-2.23
2025-11-18,95.6,55.38,72.66,-1.06,22.93,1.0,11.4,12.42,25.37,2.73
2025-11-19,99.89,54.48,76.56,0.44,23.32,1.0,11.88,11.48,28.58,5.09
2025-11-20,99.9,55.28,79.0,2.04,20.9,1.0,12.29,10.26,26.59,5.21
2025-11-21,99.74,58.47,81.06,1.38,18.68,1.0,12.01,10.64,24.02,4.84
2025-11-22,99.88,57.95,82.15,-1.32,17.74,1.0,12.36,13.92,21.01,3.83
2025-11-23,99.9,56.45,82.68,-0.55,17.22,1.0,12.38,13.1,18.29,2.22
2025-11-24,99.9,55.0,83.51,-1.33,16.39,1.0,12.22,13.49,16.66,1.68
2025-11-25,99.89,59.18,84.29,-0.79,15.6,1.0,7.08,7.76,12.18,0.79
2025-11-26,99.9,56.3,62.86,-3.68,37.04,1.0,13.3,17.04,9.24,-18.89
2025-11-27,99.9,49.1,64.82,-3.91,35.08,1.0,14.18,18.62,9.27,-15.7
2025-11-28,99.9,45.49,69.87,-3.54,30.03,1.0,14.2,18.07,8.24,-11.07
2025-11-29,99.9,45.17,75.16,-3.65,24.74,1.0,13.29,16.66,8.18,-6.01
2025-11-30,99.9,45.36,66.2,-3.48,33.7,1.0,12.5,16.17,8.43,-14.58
2025-12-01,99.9,44.3,74.22,-4.18,25.68,1.0,14.52,18.55,8.6,-7.38
2025-12-02,99.9,45.12,76.38,-3.48,23.52,1.0,14.18,17.64,8.45,-5.32
2025-12-03,99.9,44.28,76.95,-4.38,22.95,1.0,15.74,20.0,8.77,-5.09
2025-12-04,99.9,44.66,78.1,-4.26,21.8,1.0,14.35,18.66,8.2,-4.48
2025-12-05,99.78,43.54,79.02,-5.16,20.76,1.0,16.19,21.19,7.93,-4.18
2025-12-06,99.9,46.66,79.62,-3.73,20.28,1.0,13.04,16.21,6.03,-4.75
2025-12-07,99.9,48.3,78.21,-4.77,21.69,1.0,11.17,15.56,5.17,-6.43
2025-12-08,99.9,46.46,76.68,-6.7,23.22,1.0,12.3,20.13,6.83,-6.98
2025-12-09,99.9,45.86,76.5,-6.26,23.4,1.0,10.88,16.14,4.73,-9.04
2025-12-10,99.9,48.57,75.47,-4.62,24.43,1.0,8.52,12.27,2.69,-10.32
2025-12-11,99.9,47.39,75.35,-4.32,24.55,1.0,12.43,17.31,4.5,-10.13
2025-12-12,99.9,47.92,75.67,-5.58,24.23,1.0,11.89,17.3,3.78,-10.94
2025-12-13,99.9,47.05,74.01,-7.12,25.89,1.0,14.23,22.14,4.58,-11.63
2025-12-14,99.45,43.36,69.9,-11.61,29.55,1.0,25.22,37.28,7.92,-13.67
2025-12-15,98.64,40.7,71.33,-9.83,27.31,1.0,19.43,28.92,6.14,-13.48
2025-12-16,99.9,41.76,72.84,-7.04,27.06,1.0,11.95,22.93,4.44,-12.16
2025-12-17,99.9,,,,,1.0,8.9,,1.72,
2025-12-18,99.9,,,,,1.0,8.19,,0.77,
2025-12-19,99.9,,,,,1.0,14.46,,3.89,
2025-12-20,99.9,,,,,1.0,15.1,,2.85,
