Date,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,76.02,68.03,74.49,-3.5,1.53,1.0,9.8,13.24,13.49,12.06
2025-11-09,86.25,63.26,81.47,-2.63,4.77,1.0,20.32,23.07,18.98,14.19
2025-11-10,88.31,55.64,82.14,-2.31,6.18,1.0,24.42,26.65,20.55,14.39
2025-11-11,89.1,54.92,82.31,-4.2,6.79,1.0,21.18,25.39,19.52,12.74
2025-11-12,90.56,59.14,83.91,-6.42,6.65,1.0,12.65,19.24,18.04,11.45
2025-11-13,92.04,62.41,84.6,-5.51,7.44,1.0,13.92,19.53,18.8,11.86
2025-11-14,93.43,68.04,85.65,-5.5,7.77,1.0,11.81,17.36,19.03,11.74
2025-11-15,94.47,74.47,87.48,-4.13,6.99,1.0,10.09,14.25,18.6,11.9
2025-11-16,93.24,70.24,85.28,-1.77,7.96,1.0,21.87,23.81,20.37,13.6
2025-11-17,92.1,65.09,83.72,-2.62,8.37,1.0,22.42,25.09,21.53,14.34
2025-11-18,92.65,63.49,84.41,-3.99,8.23,1.0,16.59,20.53,22.42,14.48
2025-11-19,93.54,61.8,85.68,-3.88,7.86,1.0,14.87,18.8,22.24,14.21
2025-11-20,94.34,61.77,86.67,-4.32,7.67,1.0,12.41,16.74,21.03,12.88
2025-11-21,95.28,63.62,87.52,-4.25,7.76,1.0,11.54,15.79,19.57,11.29
2025-11-22,96.87,61.91,94.74,-2.95,2.13,1.0,14.69,17.88,17.99,16.43
2025-11-23,98.46,60.77,96.23,-3.1,2.23,1.0,14.15,17.41,16.85,15.77
2025-11-24,99.03,59.35,96.63,-3.03,2.4,1.0,14.86,17.84,15.79,14.8
2025-11-25,99.82,64.57,98.39,-3.94,1.43,1.0,9.32,13.15,12.11,14.89
2025-11-26,99.9,60.48,96.53,-1.17,3.37,1.0,19.99,21.22,9.24,14.77
2025-11-27,99.88,52.14,95.94,-1.39,3.95,1.0,19.74,21.66,9.25,15.42
2025-11-28,99.9,52.21,95.59,-3.77,4.31,1.0,20.69,24.79,8.24,14.64
2025-11-29,99.87,51.25,96.03,-2.97,3.84,1.0,20.05,22.74,8.15,14.86
2025-11-30,99.9,54.04,96.03,-5.38,3.87,1.0,19.27,24.85,8.43,15.25
2025-12-01,99.9,51.72,95.29,-4.3,4.61,1.0,21.81,25.96,8.6,13.68
2025-12-02,99.9,54.48,94.86,-6.13,5.04,1.0,20.89,26.99,8.45,13.16
2025-12-03,99.9,54.52,94.1,-5.5,5.8,1.0,24.86,30.24,8.77,12.06
2025-12-04,99.9,55.04,93.84,-4.45,6.06,1.0,24.54,29.03,8.2,11.27
2025-12-05,99.9,52.83,92.7,-3.77,7.2,1.0,26.87,30.48,8.06,9.5
2025-12-06,99.89,56.34,94.53,-4.08,5.36,1.0,22.37,25.89,6.02,10.16
2025-12-07,99.9,55.81,95.88,-4.21,4.02,1.0,19.24,23.07,5.17,11.24
2025-12-08,99.9,53.4,94.7,-3.17,5.2,1.0,22.79,27.07,6.83,11.04
2025-12-09,99.9,53.62,93.22,-5.08,6.68,1.0,19.82,23.9,4.73,7.69
2025-12-10,99.9,56.46,97.14,-4.16,2.76,1.0,16.88,20.17,2.69,11.35
2025-12-11,99.9,53.09,96.42,-2.27,3.48,1.0,20.18,23.02,4.5,10.94
2025-12-12,99.9,53.19,96.51,-3.03,3.39,1.0,19.71,22.58,3.78,9.91
2025-12-13,99.9,52.97,95.72,-2.69,4.18,1.0,24.58,28.06,4.58,10.08
2025-12-14,99.9,47.5,92.08,0.05,7.82,1.0,41.01,41.42,8.37,8.51
2025-12-15,99.9,43.34,92.22,1.55,7.68,1.0,33.45,31.56,7.39,7.41
2025-12-16,99.9,45.91,93.63,0.49,6.27,1.0,21.52,27.1,4.44,8.68
2025-12-17,99.9,,,,,1.0,15.92,,1.72,
2025-12-18,99.9,,,,,1.0,15.01,,0.77,
2025-12-19,99.9,,,,,1.0,26.33,,3.89,
2025-12-20,99.9,,,,,1.0,26.11,,2.85,
