Date,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,66.03,64.11,67.25,5.76,-1.22,1.0,15.15,9.33,3.49,4.82
2025-11-09,71.16,58.08,76.04,8.63,-4.88,1.0,26.4,17.9,3.89,8.75
2025-11-10,71.98,47.97,77.34,8.35,-5.36,1.0,27.4,18.98,4.22,9.59
2025-11-11,72.02,44.97,78.82,5.67,-6.8,1.0,21.09,15.43,2.44,9.24
2025-11-12,73.36,48.59,81.04,2.71,-7.69,1.0,11.22,8.7,0.84,8.59
2025-11-13,78.48,51.2,81.93,2.43,-3.45,1.0,10.64,8.32,5.24,9.19
2025-11-14,84.0,58.09,83.12,2.9,0.88,1.0,10.26,7.4,9.61,9.2
2025-11-15,84.26,69.54,83.62,5.44,0.64,1.0,14.73,9.32,8.39,8.04
2025-11-16,80.19,63.11,79.61,7.62,0.58,1.0,24.13,16.68,7.32,7.92
2025-11-17,77.76,55.51,76.42,6.64,1.34,1.0,22.1,15.51,7.19,7.04
2025-11-18,77.61,53.94,78.23,5.05,-0.62,1.0,16.07,10.98,7.39,8.3
2025-11-19,84.16,52.77,84.59,4.2,-0.43,1.0,13.92,9.78,12.86,13.12
2025-11-20,88.24,52.93,88.05,2.97,0.19,1.0,10.87,7.9,14.93,14.27
2025-11-21,89.89,54.5,90.13,2.21,-0.23,1.0,8.89,6.68,14.18,13.9
2025-11-22,91.06,52.29,91.82,3.32,-0.76,1.0,11.34,8.26,12.19,13.5
2025-11-23,91.89,51.17,93.39,2.91,-1.5,1.0,10.55,7.81,10.28,12.93
2025-11-24,92.2,50.01,94.14,2.58,-1.94,1.0,11.15,8.51,8.96,12.31
2025-11-25,92.35,55.6,95.01,1.01,-2.66,1.0,5.3,4.18,4.63,11.51
2025-11-26,93.74,50.38,95.48,4.12,-1.74,1.0,15.18,11.12,3.09,13.72
2025-11-27,93.35,42.71,95.31,3.7,-1.96,1.0,15.4,12.23,2.72,14.79
2025-11-28,92.09,38.62,94.59,3.93,-2.5,1.0,14.81,11.2,0.43,13.65
2025-11-29,90.97,38.5,94.19,3.28,-3.22,1.0,13.55,9.99,-0.75,13.02
2025-11-30,91.73,38.57,94.68,3.21,-2.95,1.0,12.4,9.39,0.26,13.91
2025-12-01,90.24,35.91,94.34,3.51,-4.1,1.0,13.82,10.16,-1.06,12.74
2025-12-02,89.75,36.96,94.34,3.54,-4.59,1.0,13.04,9.48,-1.7,12.64
2025-12-03,89.36,34.77,94.49,4.02,-5.14,1.0,14.63,10.49,-1.77,12.45
2025-12-04,89.29,35.91,94.79,3.65,-5.5,1.0,13.51,9.91,-2.41,12.21
2025-12-05,88.55,33.09,94.7,4.09,-6.14,1.0,14.98,10.74,-3.29,11.5
2025-12-06,89.33,38.97,95.97,3.19,-6.64,1.0,12.27,8.53,-4.54,11.6
2025-12-07,88.2,40.52,95.89,2.91,-7.69,1.0,11.07,7.77,-6.53,11.26
2025-12-08,87.62,36.94,95.59,4.38,-7.89,1.0,13.42,10.21,-5.45,11.98
2025-12-09,87.66,,,,,1.0,10.9,,-7.51,
2025-12-10,88.67,,,,,1.0,8.14,,-8.54,
2025-12-11,88.44,,,,,1.0,10.76,,-6.96,
2025-12-12,87.66,,,,,1.0,10.82,,-8.46,
2025-12-13,88.61,,,,,1.0,15.01,,-6.71,
2025-12-14,87.89,,,,,1.0,27.28,,-3.64,
2025-12-15,87.62,,,,,1.0,19.88,,-4.88,
2025-12-16,88.15,,,,,1.0,10.87,,-7.31,
2025-12-17,89.98,,,,,1.0,6.5,,-8.2,
2025-12-18,91.14,,,,,1.0,4.68,,-7.99,
2025-12-19,93.11,,,,,1.0,15.08,,-2.9,
2025-12-20,92.66,,,,,1.0,14.18,,-4.39,
