Date,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,66.74,64.26,67.34,2.48,-0.6,1.0,12.01,9.47,4.21,4.91
2025-11-09,70.16,58.94,72.47,5.6,-2.31,1.0,24.21,18.75,2.89,5.19
2025-11-10,69.66,46.78,73.71,3.76,-4.05,1.0,21.63,17.79,1.9,5.97
2025-11-11,70.5,44.27,74.53,1.82,-4.04,1.0,16.54,14.74,0.91,4.96
2025-11-12,73.59,48.21,75.85,0.91,-2.27,1.0,9.04,8.32,1.07,3.4
2025-11-13,74.78,51.74,76.55,0.82,-1.77,1.0,9.57,8.86,1.54,3.81
2025-11-14,76.56,60.59,77.47,1.78,-0.91,1.0,11.65,9.91,2.16,3.55
2025-11-15,73.36,74.99,77.23,5.81,-3.87,1.0,20.55,14.77,-2.51,1.65
2025-11-16,66.0,66.87,74.66,5.7,-8.66,1.0,25.96,20.43,-6.87,2.98
2025-11-17,69.44,56.34,73.61,3.82,-4.17,1.0,20.12,16.35,-1.13,4.22
2025-11-18,75.39,54.82,77.6,3.04,-2.21,1.0,14.95,11.86,5.17,7.67
2025-11-19,80.58,55.25,85.42,2.97,-4.84,1.0,15.18,12.26,9.27,13.94
2025-11-20,81.91,59.64,86.51,2.47,-4.6,1.0,17.07,14.61,8.6,12.72
2025-11-21,80.87,61.69,87.32,2.04,-6.46,1.0,15.89,13.86,5.15,11.1
2025-11-22,81.58,56.44,89.19,2.61,-7.61,1.0,14.78,12.41,2.7,10.88
2025-11-23,82.84,54.53,90.15,3.52,-7.31,1.0,14.53,11.18,1.23,9.69
2025-11-24,82.21,54.43,91.03,5.71,-8.82,1.0,18.69,12.92,-1.03,9.19
2025-11-25,82.98,58.43,92.42,4.19,-9.43,1.0,11.3,7.01,-4.73,8.92
2025-11-26,79.65,57.36,91.37,9.67,-11.72,1.0,27.7,18.1,-11.01,9.62
2025-11-27,75.91,48.65,90.85,12.09,-14.94,1.0,29.73,18.17,-14.72,10.33
2025-11-28,79.57,43.22,90.72,8.21,-11.15,1.0,23.69,15.8,-12.09,9.78
2025-11-29,80.09,42.25,90.81,4.19,-10.72,1.0,18.21,13.74,-11.63,9.64
2025-11-30,81.57,42.04,90.78,3.54,-9.21,1.0,16.2,12.85,-9.9,10.0
2025-12-01,81.94,39.11,90.3,3.38,-8.37,1.0,16.89,13.36,-9.36,8.69
2025-12-02,82.43,40.57,90.32,3.21,-7.89,1.0,16.32,13.09,-9.02,8.62
2025-12-03,82.12,38.78,89.85,3.22,-7.73,1.0,17.85,14.5,-9.01,7.81
2025-12-04,82.92,39.74,89.65,3.83,-6.72,1.0,17.52,13.74,-8.77,7.08
2025-12-05,82.05,36.52,89.06,4.08,-7.01,1.0,18.4,14.17,-9.79,5.86
2025-12-06,83.24,42.68,89.42,3.54,-6.18,1.0,16.33,12.23,-10.63,5.05
2025-12-07,82.81,43.21,89.32,3.52,-6.51,1.0,14.37,10.46,-11.93,4.68
2025-12-08,82.19,40.19,88.13,4.78,-5.84,1.0,17.05,13.46,-10.87,4.52
2025-12-09,82.15,,,,,1.0,15.67,,-13.02,
2025-12-10,85.16,,,,,1.0,12.79,,-12.05,
2025-12-11,85.85,,,,,1.0,15.46,,-9.55,
2025-12-12,85.95,,,,,1.0,15.76,,-10.17,
2025-12-13,86.2,,,,,1.0,20.59,,-9.12,
2025-12-14,82.49,,,,,1.0,32.63,,-9.04,
2025-12-15,82.06,,,,,1.0,25.14,,-10.44,
2025-12-16,84.44,,,,,1.0,15.64,,-11.02,
2025-12-17,86.02,,,,,1.0,11.98,,-12.16,
2025-12-18,88.03,,,,,1.0,10.43,,-11.1,
2025-12-19,89.56,,,,,1.0,18.82,,-6.44,
2025-12-20,88.65,,,,,1.0,15.59,,-8.4,
