Date,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,70.05,61.98,65.66,-2.45,4.39,1.0,4.8,7.2,7.52,3.23
2025-11-09,83.11,57.84,73.84,-6.06,9.28,1.0,11.45,17.65,15.85,6.55
2025-11-10,85.02,49.57,76.23,-6.07,8.79,1.0,14.59,20.58,17.26,8.48
2025-11-11,85.57,46.84,76.35,-5.69,9.22,1.0,11.6,17.31,15.98,6.78
2025-11-12,88.89,49.4,77.44,-4.16,11.46,1.0,5.16,9.5,16.38,4.98
2025-11-13,90.18,52.73,78.72,-4.25,11.46,1.0,5.48,9.84,16.94,5.98
2025-11-14,90.46,60.39,80.26,-4.51,10.2,1.0,5.16,9.71,16.07,6.34
2025-11-15,88.54,71.16,77.17,-5.74,11.37,1.0,5.17,10.94,12.67,1.59
2025-11-16,83.65,64.96,70.38,-5.88,13.27,1.0,12.48,18.53,10.78,-1.3
2025-11-17,81.2,58.13,74.41,-4.86,6.79,1.0,13.23,18.14,10.62,5.03
2025-11-18,85.64,55.14,77.29,-2.86,8.34,1.0,9.37,12.19,15.41,7.36
2025-11-19,90.09,54.55,79.47,-2.8,10.62,1.0,8.71,11.56,18.79,8.0
2025-11-20,90.88,55.18,80.6,-0.95,10.28,1.0,9.19,10.16,17.57,6.81
2025-11-21,92.0,57.82,82.35,-1.89,9.65,1.0,8.1,10.0,16.28,6.12
2025-11-22,92.45,57.37,83.14,-4.25,9.31,1.0,8.84,13.34,13.58,4.83
2025-11-23,92.47,56.86,83.52,-5.23,8.96,1.0,8.11,13.51,10.86,3.06
2025-11-24,92.61,56.61,84.44,-5.99,8.16,1.0,9.17,15.1,9.37,2.61
2025-11-25,94.14,59.64,83.67,-3.97,10.47,1.0,4.36,8.22,6.42,0.18
2025-11-26,92.05,58.26,80.76,-6.89,11.28,1.0,12.04,19.0,1.39,-0.99
2025-11-27,91.59,51.6,82.21,-8.79,9.38,1.0,11.8,21.12,0.96,1.69
2025-11-28,91.38,48.26,82.14,-9.01,9.24,1.0,11.51,20.84,-0.28,1.2
2025-11-29,90.92,47.42,81.79,-8.65,9.13,1.0,10.54,18.9,-0.8,0.62
2025-11-30,90.72,47.78,81.27,-8.05,9.45,1.0,10.35,18.6,-0.75,0.5
2025-12-01,89.95,45.89,79.04,-7.08,10.91,1.0,13.21,20.14,-1.35,-2.56
2025-12-02,90.61,46.69,79.06,-6.76,11.55,1.0,12.47,19.21,-0.83,-2.64
2025-12-03,88.79,45.76,78.9,-7.09,9.9,1.0,14.51,21.48,-2.33,-3.14
2025-12-04,91.09,45.79,79.0,-7.48,12.09,1.0,12.27,19.79,-0.61,-3.57
2025-12-05,90.13,44.03,78.15,-7.56,11.98,1.0,14.27,21.68,-1.72,-5.05
2025-12-06,91.93,48.51,79.14,-7.93,12.79,1.0,10.68,18.06,-1.94,-5.24
2025-12-07,92.94,49.34,80.24,-6.98,12.7,1.0,10.01,16.6,-1.79,-4.4
2025-12-08,91.99,46.13,80.04,-6.34,11.95,1.0,12.34,19.8,-1.07,-3.61
2025-12-09,91.8,45.96,81.08,-6.2,10.71,1.0,11.04,16.24,-3.37,-4.45
2025-12-10,93.79,49.56,82.83,-5.8,10.96,1.0,8.34,13.26,-3.42,-2.96
2025-12-11,93.37,47.29,82.92,-5.88,10.46,1.0,10.51,17.02,-2.1,-2.32
