Date,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,65.66,60.97,69.66,1.01,-4.0,1.0,7.26,6.18,3.13,7.23
2025-11-09,73.84,53.51,76.71,4.32,-2.87,1.0,17.52,13.33,6.57,9.42
2025-11-10,76.23,44.16,79.46,5.41,-3.23,1.0,20.66,15.17,8.46,11.71
2025-11-11,76.35,42.82,80.58,4.02,-4.23,1.0,17.3,13.29,6.76,11.01
2025-11-12,77.44,47.45,83.54,1.94,-6.11,1.0,9.32,7.56,4.92,11.09
2025-11-13,78.72,51.22,84.43,1.51,-5.71,1.0,9.74,8.34,5.48,11.69
2025-11-14,80.26,59.21,84.83,1.18,-4.57,1.0,9.67,8.53,5.87,10.91
2025-11-15,77.17,68.38,80.01,2.78,-2.84,1.0,10.91,8.16,1.3,4.43
2025-11-16,70.38,59.14,73.34,5.83,-2.96,1.0,18.36,12.7,-2.49,1.65
2025-11-17,74.41,52.68,77.3,5.45,-2.89,1.0,18.09,12.68,3.84,7.92
2025-11-18,77.29,51.64,81.25,3.5,-3.96,1.0,12.23,8.69,7.07,11.32
2025-11-19,79.47,51.08,84.73,3.47,-5.26,1.0,11.5,8.09,8.17,13.25
2025-11-20,80.6,52.72,86.87,2.46,-6.27,1.0,10.15,7.69,7.29,13.09
2025-11-21,82.35,55.79,88.11,2.03,-5.76,1.0,9.99,7.96,6.63,11.89
2025-11-22,83.14,53.79,88.77,3.57,-5.62,1.0,13.1,9.76,4.27,10.45
2025-11-23,83.52,53.52,90.24,3.34,-6.72,1.0,13.34,10.17,1.91,9.78
2025-11-24,84.44,53.05,91.57,3.55,-7.12,1.0,15.16,11.55,1.2,9.73
2025-11-25,83.67,57.93,92.28,1.71,-8.6,1.0,8.32,6.51,-4.04,8.78
2025-11-26,80.76,53.24,91.17,5.02,-10.4,1.0,18.93,13.98,-9.89,9.41
2025-11-27,82.21,46.08,93.41,5.52,-11.2,1.0,20.59,15.6,-8.42,12.89
2025-11-28,82.14,42.77,92.76,5.49,-10.62,1.0,20.52,15.35,-9.52,11.82
2025-11-29,81.8,42.95,91.53,4.47,-9.73,1.0,19.22,14.47,-9.92,10.36
2025-11-30,81.28,43.51,92.14,4.29,-10.86,1.0,18.35,14.26,-10.2,11.35
2025-12-01,79.06,41.36,90.17,4.52,-11.11,1.0,20.32,15.64,-12.23,8.58
2025-12-02,79.06,42.26,89.71,4.44,-10.65,1.0,19.18,14.71,-12.39,8.0
2025-12-03,78.89,40.96,89.07,4.79,-10.18,1.0,21.64,16.73,-12.23,7.05
2025-12-04,79.01,41.3,88.62,4.52,-9.61,1.0,19.7,15.22,-12.7,6.04
2025-12-05,78.15,39.66,88.33,4.36,-10.18,1.0,21.88,17.37,-13.68,5.15
2025-12-06,79.12,45.27,90.19,3.17,-11.07,1.0,18.61,14.88,-14.73,5.82
2025-12-07,80.22,45.88,90.69,3.49,-10.47,1.0,17.0,13.13,-14.51,6.05
2025-12-08,80.07,41.97,89.32,4.72,-9.02,1.0,18.64,15.24,-13.01,5.73
2025-12-09,81.06,,,,,1.0,17.32,,-14.07,
2025-12-10,82.81,,,,,1.0,14.09,,-14.41,
2025-12-11,82.59,,,,,1.0,16.46,,-12.82,
2025-12-12,82.03,,,,,1.0,17.77,,-14.09,
2025-12-13,82.92,,,,,1.0,22.16,,-12.43,
2025-12-14,78.41,,,,,1.0,36.51,,-13.14,
2025-12-15,77.97,,,,,1.0,30.44,,-14.49,
2025-12-16,78.9,,,,,1.0,21.11,,-16.54,
2025-12-17,81.89,,,,,1.0,17.2,,-16.28,
2025-12-18,83.07,,,,,1.0,14.47,,-16.07,
2025-12-19,85.68,,,,,1.0,25.42,,-10.34,
2025-12-20,84.41,,,,,1.0,23.84,,-12.61,
