Date,Temperature_Fahrenheit,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,63.71,60.08,62.53,55.06,1.18,5.02,1.0,8.98,7.74,-2.45,-7.38
2025-11-09,59.94,61.42,56.87,57.45,3.07,3.96,1.0,19.62,16.68,-5.85,-9.83
2025-11-10,52.8,59.8,48.53,56.23,4.27,3.57,1.0,23.89,19.54,-7.97,-11.52
2025-11-11,48.76,61.06,46.42,57.89,2.34,3.17,1.0,19.22,16.88,-8.52,-11.68
2025-11-12,49.82,63.49,49.75,59.69,0.07,3.79,1.0,9.74,9.86,-9.03,-12.76
2025-11-13,52.5,67.45,52.05,61.98,0.46,5.48,1.0,9.51,9.16,-5.78,-10.76
2025-11-14,57.16,71.37,57.72,64.45,-0.56,6.91,1.0,6.43,7.04,-3.03,-9.47
2025-11-15,68.35,72.99,68.24,66.86,0.11,6.13,1.0,8.11,8.02,-2.88,-8.72
2025-11-16,65.88,66.35,62.35,66.01,3.52,0.35,1.0,19.27,15.92,-6.52,-5.68
2025-11-17,58.58,67.15,55.36,63.28,3.22,3.87,1.0,18.53,15.37,-3.42,-6.1
2025-11-18,55.38,72.66,53.71,65.41,1.67,7.26,1.0,12.46,10.75,2.44,-4.53
2025-11-19,54.48,76.56,53.32,69.79,1.16,6.77,1.0,11.43,10.33,5.26,-1.68
2025-11-20,55.28,79.0,54.59,72.95,0.69,6.04,1.0,10.25,9.56,5.69,-0.83
2025-11-21,58.47,81.06,57.58,75.49,0.89,5.57,1.0,10.64,9.76,5.35,-0.73
2025-11-22,57.95,82.15,56.07,77.17,1.88,4.98,1.0,13.68,12.04,3.27,-1.15
2025-11-23,56.45,82.68,54.77,78.79,1.68,3.89,1.0,12.93,11.41,1.07,-1.67
2025-11-24,55.0,83.51,53.4,81.33,1.61,2.18,1.0,13.55,11.89,0.27,-0.5
2025-11-25,59.18,84.29,59.07,82.82,0.11,1.47,1.0,7.86,7.65,-3.43,-0.67
2025-11-26,56.3,62.86,53.69,81.8,2.6,-18.94,1.0,16.97,14.44,-27.8,0.05
2025-11-27,49.1,64.82,45.75,79.38,3.35,-14.56,1.0,18.09,15.27,-25.81,-1.14
2025-11-28,45.49,69.87,43.47,79.32,2.01,-9.46,1.0,17.74,16.05,-21.79,-1.62
2025-11-29,45.16,75.14,43.98,80.9,1.18,-5.75,1.0,16.96,15.5,-16.57,-0.27
2025-11-30,45.38,66.26,44.27,79.7,1.11,-13.44,1.0,15.94,15.02,-25.22,-1.08
2025-12-01,44.29,74.17,43.05,79.94,1.25,-5.77,1.0,18.73,17.33,-17.12,-1.66
2025-12-02,45.13,76.38,43.92,80.99,1.21,-4.62,1.0,17.6,16.37,-15.08,-0.72
2025-12-03,44.28,76.95,42.83,81.0,1.45,-4.05,1.0,20.16,18.6,-14.17,-1.02
2025-12-04,44.68,78.08,43.15,80.72,1.52,-2.64,1.0,18.56,17.07,-13.63,-1.86
2025-12-05,43.54,79.01,41.39,81.05,2.14,-2.04,1.0,21.4,19.11,-12.82,-2.13
2025-12-06,46.61,79.63,45.59,81.52,1.03,-1.89,1.0,16.78,15.2,-14.23,-2.85
2025-12-07,48.31,78.22,47.08,81.44,1.23,-3.22,1.0,15.94,14.33,-16.51,-3.2
2025-12-08,46.5,76.69,44.24,80.16,2.26,-3.47,1.0,18.95,17.82,-16.39,-3.5
2025-12-09,45.84,76.49,44.44,80.95,1.39,-4.46,1.0,17.24,14.87,-18.64,-4.56
2025-12-10,48.56,75.49,47.82,81.26,0.73,-5.77,1.0,13.09,11.48,-21.73,-4.55
2025-12-11,47.4,75.35,45.63,81.15,1.77,-5.8,1.0,16.74,15.53,-20.06,-4.32
2025-12-12,47.91,75.67,46.32,81.12,1.59,-5.45,1.0,17.48,15.73,-20.44,-5.49
2025-12-13,47.08,74.04,44.17,81.56,2.92,-7.52,1.0,21.2,19.07,-21.31,-4.1
2025-12-14,43.42,69.93,37.84,80.02,5.57,-10.09,1.0,36.78,31.67,-21.63,-3.56
2025-12-15,40.67,71.31,37.39,78.26,3.28,-6.95,1.0,29.42,25.81,-21.16,-6.53
2025-12-16,41.78,72.82,39.26,77.49,2.52,-4.66,1.0,22.98,20.35,-21.0,-7.52
