Date,Temperature_Fahrenheit,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,62.53,55.06,63.74,66.43,-1.21,-11.38,1.0,7.8,8.95,-7.48,4.0
2025-11-09,56.87,57.45,64.08,72.6,-7.21,-15.14,1.0,16.55,23.9,-9.81,5.31
2025-11-10,48.53,56.23,57.64,72.86,-9.12,-16.63,1.0,19.62,28.66,-11.54,5.11
2025-11-11,46.42,57.89,53.86,71.56,-7.44,-13.67,1.0,16.87,24.33,-11.69,1.99
2025-11-12,49.75,59.69,49.62,77.07,0.13,-17.38,1.0,9.67,9.73,-12.82,4.62
2025-11-13,52.05,61.98,42.21,88.92,9.83,-26.95,1.0,9.06,-0.67,-11.26,16.18
2025-11-14,57.72,64.45,48.96,89.06,8.76,-24.6,1.0,7.0,-1.72,-9.94,15.14
2025-11-15,68.24,66.86,56.7,88.12,11.54,-21.27,1.0,8.0,-3.52,-9.02,12.54
2025-11-16,62.35,66.01,50.78,85.34,11.58,-19.34,1.0,15.75,4.34,-6.87,13.66
2025-11-17,55.36,63.28,60.74,86.03,-5.38,-22.74,1.0,15.32,20.74,-7.29,16.64
2025-11-18,53.71,65.41,61.78,89.38,-8.07,-23.97,1.0,10.79,18.82,-4.82,19.44
2025-11-19,53.32,69.79,61.87,90.92,-8.56,-21.13,1.0,10.27,18.88,-1.51,19.45
2025-11-20,54.59,72.95,61.66,91.68,-7.07,-18.73,1.0,9.56,16.63,-0.36,17.9
2025-11-21,57.58,75.49,63.01,91.34,-5.43,-15.85,1.0,9.75,15.19,-0.22,15.11
2025-11-22,56.07,77.17,62.38,91.43,-6.32,-14.26,1.0,11.8,18.35,-1.71,13.11
2025-11-23,54.77,78.79,62.35,91.36,-7.58,-12.57,1.0,11.24,18.99,-2.82,10.91
2025-11-24,53.4,81.33,68.24,88.54,-14.84,-7.21,1.0,11.95,26.73,-1.91,6.71
2025-11-25,59.07,82.82,71.5,86.13,-12.44,-3.31,1.0,7.75,20.08,-4.89,2.63
2025-11-26,53.69,81.8,65.45,67.43,-11.76,14.37,1.0,14.37,26.19,-8.86,-14.32
2025-11-27,45.75,79.38,59.71,71.4,-13.96,7.98,1.0,14.74,29.23,-11.25,-9.12
2025-11-28,43.47,79.32,56.24,77.95,-12.77,1.38,1.0,15.73,28.82,-12.34,-3.0
2025-11-29,44.0,80.9,54.19,79.93,-10.19,0.97,1.0,15.77,25.68,-10.83,-1.24
2025-11-30,44.24,79.68,52.75,66.32,-8.51,13.37,1.0,14.86,23.57,-11.79,-14.46
2025-12-01,43.06,79.95,52.5,75.21,-9.44,4.74,1.0,17.46,26.75,-11.34,-6.39
2025-12-02,43.9,80.99,52.95,76.61,-9.05,4.39,1.0,16.44,25.46,-10.45,-5.09
2025-12-03,42.84,81.01,51.52,75.42,-8.98,5.61,1.0,18.68,28.32,-10.12,-6.5
2025-12-04,43.13,80.72,,,,,1.0,17.08,,-10.98,
2025-12-05,41.41,81.05,,,,,1.0,19.21,,-10.79,
2025-12-06,45.63,81.52,,,,,1.0,15.74,,-12.35,
2025-12-07,47.07,81.44,,,,,1.0,14.71,,-13.29,
2025-12-08,44.2,80.16,,,,,1.0,16.75,,-12.91,
2025-12-09,44.49,80.96,,,,,1.0,15.77,,-14.21,
2025-12-10,47.81,81.26,,,,,1.0,12.39,,-15.95,
2025-12-11,45.62,81.14,,,,,1.0,14.98,,-14.26,
2025-12-12,46.32,81.12,,,,,1.0,15.87,,-15.0,
2025-12-13,44.12,81.55,,,,,1.0,18.41,,-13.77,
2025-12-14,37.78,80.0,,,,,1.0,31.25,,-11.53,
2025-12-15,37.45,78.24,,,,,1.0,26.01,,-14.26,
2025-12-16,39.25,77.52,,,,,1.0,20.51,,-16.3,
