Date,Temperature_Fahrenheit,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,63.74,66.43,61.29,63.48,2.44,2.95,1.0,9.01,6.51,3.9,1.05
2025-11-09,64.08,72.6,57.25,68.66,6.83,3.94,1.0,23.76,17.06,5.34,1.38
2025-11-10,57.64,72.86,48.19,67.86,9.45,5.0,1.0,28.73,19.21,5.1,0.11
2025-11-11,53.86,71.56,45.04,68.04,8.83,3.52,1.0,24.32,15.5,1.98,-1.53
2025-11-12,49.62,77.07,45.28,73.84,4.33,3.23,1.0,9.54,5.39,4.56,1.39
2025-11-13,42.21,88.92,42.08,86.51,0.14,2.41,1.0,-0.78,-0.81,15.69,13.77
2025-11-14,48.96,89.06,49.1,86.31,-0.14,2.75,1.0,-1.76,-1.58,14.66,12.39
2025-11-15,56.7,88.12,57.22,86.32,-0.52,1.8,1.0,-3.55,-3.0,12.25,10.74
2025-11-16,50.78,85.34,49.42,78.4,1.36,6.94,1.0,4.17,2.98,12.47,6.71
2025-11-17,60.74,86.03,55.77,74.9,4.97,11.13,1.0,20.69,15.77,15.46,5.52
2025-11-18,61.78,89.38,56.33,79.74,5.45,9.63,1.0,18.87,13.37,19.15,9.81
2025-11-19,61.87,90.92,55.71,84.1,6.16,6.82,1.0,18.83,12.72,19.62,12.63
2025-11-20,61.66,91.68,56.21,86.24,5.44,5.45,1.0,16.62,11.19,18.37,12.45
2025-11-21,63.01,91.34,57.87,87.4,5.14,3.94,1.0,15.18,10.04,15.62,11.17
2025-11-22,62.38,91.43,55.98,87.16,6.4,4.27,1.0,18.11,11.96,12.55,8.85
2025-11-23,62.35,91.36,56.5,88.34,5.85,3.02,1.0,18.83,13.14,9.76,7.89
2025-11-24,68.24,88.54,60.34,90.19,7.9,-1.64,1.0,26.79,18.83,5.3,8.35
2025-11-25,71.5,86.13,64.3,94.41,7.21,-8.28,1.0,20.19,12.87,-1.59,10.91
2025-11-26,65.45,67.43,61.1,98.96,4.35,-31.54,1.0,26.13,21.84,-23.23,17.21
2025-11-27,59.71,71.4,52.54,99.89,7.16,-28.49,1.0,28.7,22.06,-19.23,19.37
2025-11-28,56.24,77.95,47.57,99.9,8.67,-21.95,1.0,28.5,20.15,-13.71,18.96
2025-11-29,54.19,79.93,45.33,99.9,8.86,-19.97,1.0,25.96,16.81,-11.79,18.73
2025-11-30,52.75,66.32,45.73,99.9,7.02,-33.58,1.0,23.37,16.54,-25.15,19.12
2025-12-01,52.5,75.21,43.72,99.9,8.78,-24.69,1.0,26.9,17.97,-16.09,18.29
2025-12-02,52.95,76.61,44.39,99.9,8.56,-23.29,1.0,25.49,16.91,-14.84,18.2
2025-12-03,51.52,75.42,43.09,99.9,8.43,-24.48,1.0,28.44,19.9,-15.52,17.99
