Date,Temperature_Fahrenheit,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,61.29,63.48,61.31,67.45,-0.02,-3.97,1.0,6.57,6.52,0.95,5.02
2025-11-09,57.25,68.66,56.44,73.38,0.81,-4.72,1.0,16.93,16.25,1.4,6.1
2025-11-10,48.19,67.86,47.33,71.52,0.86,-3.66,1.0,19.28,18.34,0.09,3.77
2025-11-11,45.04,68.04,43.24,72.91,1.79,-4.87,1.0,15.49,13.7,-1.55,3.34
2025-11-12,45.28,73.84,45.79,77.71,-0.5,-3.88,1.0,5.21,5.9,1.32,5.26
2025-11-13,42.08,86.51,49.81,80.08,-7.73,6.43,1.0,-0.91,6.92,13.27,7.34
2025-11-14,49.1,86.31,56.33,81.67,-7.23,4.64,1.0,-1.63,5.64,11.91,7.75
2025-11-15,57.22,86.32,67.44,80.55,-10.22,5.77,1.0,-3.03,7.22,10.45,4.97
2025-11-16,49.42,78.4,65.15,73.39,-15.73,5.01,1.0,2.81,18.72,5.53,1.7
2025-11-17,55.77,74.9,57.46,74.96,-1.69,-0.06,1.0,15.72,17.46,4.33,5.58
2025-11-18,56.33,79.74,54.14,79.32,2.19,0.42,1.0,13.42,11.19,9.52,9.39
2025-11-19,55.71,84.1,53.0,82.52,2.71,1.59,1.0,12.66,10.01,12.79,11.04
2025-11-20,56.21,86.24,53.71,84.48,2.5,1.75,1.0,11.18,8.69,12.92,10.7
2025-11-21,57.87,87.4,56.35,86.0,1.52,1.4,1.0,10.03,8.52,11.68,9.78
2025-11-22,55.98,87.16,55.29,85.81,0.69,1.35,1.0,11.72,11.26,8.29,7.49
2025-11-23,56.5,88.34,54.35,85.58,2.15,2.76,1.0,12.98,10.99,6.74,5.12
2025-11-24,60.34,90.19,53.27,85.43,7.07,4.76,1.0,18.89,11.76,6.94,3.6
2025-11-25,64.3,94.41,58.09,86.47,6.2,7.94,1.0,12.98,6.67,6.69,2.97
2025-11-26,61.1,98.96,55.39,82.61,5.71,16.35,1.0,21.78,16.14,8.31,0.86
2025-11-27,52.54,99.89,46.46,81.38,6.08,18.5,1.0,21.53,15.98,9.26,0.87
2025-11-28,47.57,99.9,42.75,81.15,4.82,18.75,1.0,19.83,15.33,8.24,0.2
2025-11-29,45.32,99.9,41.74,82.13,3.58,17.77,1.0,17.12,13.26,8.18,0.97
2025-11-30,45.75,99.9,41.81,81.32,3.94,18.58,1.0,16.3,12.56,8.42,0.53
2025-12-01,43.72,99.9,39.95,81.11,3.77,18.79,1.0,18.15,14.23,8.61,-0.49
2025-12-02,44.4,99.9,40.69,81.23,3.71,18.67,1.0,16.88,13.14,8.44,-0.48
2025-12-03,43.33,99.9,39.19,80.3,4.14,19.6,1.0,19.21,14.96,8.78,-1.72
2025-12-04,43.63,99.9,39.81,81.79,3.82,18.11,1.0,17.51,13.73,8.19,-0.8
2025-12-05,41.98,99.9,37.85,81.82,4.13,18.08,1.0,19.84,15.56,8.07,-1.37
2025-12-06,45.51,99.9,41.26,84.25,4.25,15.65,1.0,15.67,10.86,6.04,-0.12
2025-12-07,47.32,99.9,42.89,82.92,4.43,16.98,1.0,14.95,10.14,5.17,-1.72
2025-12-08,44.23,99.9,40.75,81.61,3.47,18.29,1.0,16.69,14.33,6.82,-2.05
2025-12-09,44.98,99.9,39.21,83.79,5.76,16.11,1.0,16.38,9.64,4.77,-1.72
2025-12-10,48.43,99.9,43.52,85.16,4.92,14.74,1.0,12.97,7.17,2.68,-0.65
2025-12-11,45.69,99.9,41.73,83.08,3.96,16.82,1.0,15.03,11.64,4.49,-2.39
2025-12-12,45.69,99.9,41.43,83.42,4.26,16.47,1.0,15.26,10.83,3.79,-3.18
2025-12-13,44.49,99.9,40.52,82.5,3.97,17.4,1.0,18.61,15.42,4.55,-3.16
2025-12-14,38.03,99.9,34.38,81.26,3.65,18.64,1.0,31.39,28.2,8.34,-2.32
2025-12-15,35.66,99.9,32.69,85.76,2.97,14.14,1.0,24.4,21.1,7.43,0.97
2025-12-16,39.08,99.9,36.74,86.65,2.34,13.25,1.0,14.21,11.33,4.47,0.25
2025-12-17,45.98,99.9,41.41,87.87,4.57,12.03,1.0,11.32,5.94,1.73,0.14
2025-12-18,50.56,99.9,46.34,87.6,4.22,12.3,1.0,9.24,4.21,0.76,-1.32
2025-12-19,46.56,99.9,43.0,84.26,3.55,15.64,1.0,17.56,15.68,3.88,-1.96
2025-12-20,42.18,99.9,39.39,82.48,2.79,17.42,1.0,17.14,14.07,2.88,-6.02
