Date,Temperature_Fahrenheit,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,61.31,67.45,60.38,67.03,0.93,0.42,1.0,6.58,5.6,4.91,4.6
2025-11-09,56.44,73.38,54.82,74.55,1.61,-1.17,1.0,16.12,14.64,6.12,7.27
2025-11-10,47.33,71.52,45.66,76.69,1.66,-5.17,1.0,18.42,16.68,3.76,8.95
2025-11-11,43.24,72.91,42.25,74.83,0.99,-1.92,1.0,13.7,12.71,3.32,5.26
2025-11-12,45.79,77.71,45.55,77.19,0.24,0.52,1.0,5.71,5.66,5.2,4.74
2025-11-13,49.81,80.08,49.53,77.53,0.28,2.55,1.0,6.82,6.64,6.84,4.79
2025-11-14,56.33,81.67,56.61,78.66,-0.28,3.01,1.0,5.6,5.93,7.27,4.74
2025-11-15,67.44,80.55,66.82,75.92,0.62,4.63,1.0,7.19,6.6,4.68,0.34
2025-11-16,65.15,73.39,62.67,71.98,2.48,1.41,1.0,18.55,16.24,0.52,0.29
2025-11-17,57.46,74.96,55.37,72.72,2.09,2.25,1.0,17.42,15.38,4.39,3.33
2025-11-18,54.14,79.32,52.7,76.87,1.44,2.45,1.0,11.23,9.75,9.09,6.93
2025-11-19,53.0,82.52,51.47,79.55,1.53,2.96,1.0,9.96,8.48,11.21,8.08
2025-11-20,53.71,84.48,52.66,81.71,1.05,2.78,1.0,8.68,7.64,11.17,7.92
2025-11-21,56.35,86.0,54.8,81.81,1.54,4.2,1.0,8.51,6.98,10.29,5.58
2025-11-22,55.29,85.81,53.44,83.05,1.86,2.76,1.0,11.02,9.41,6.93,4.74
2025-11-23,54.35,85.58,52.43,83.7,1.92,1.88,1.0,10.82,9.07,3.97,3.24
2025-11-24,53.27,85.43,51.99,84.8,1.28,0.63,1.0,11.82,10.48,2.19,2.97
2025-11-25,58.09,86.47,57.03,84.44,1.07,2.02,1.0,6.78,5.6,-1.25,0.94
2025-11-26,55.39,82.61,53.17,85.37,2.22,-2.76,1.0,16.07,13.91,-8.05,3.62
2025-11-27,46.46,81.38,44.5,84.63,1.96,-3.24,1.0,15.45,14.02,-9.25,4.11
2025-11-28,42.75,81.15,41.31,82.82,1.43,-1.67,1.0,15.0,13.89,-10.51,1.88
2025-11-29,41.74,82.14,40.76,84.19,0.99,-2.05,1.0,13.52,12.24,-9.59,3.02
2025-11-30,41.79,81.3,40.98,84.38,0.81,-3.08,1.0,12.41,11.79,-10.17,3.6
2025-12-01,39.95,81.12,39.26,84.22,0.68,-3.11,1.0,14.35,13.51,-10.18,2.62
2025-12-02,40.68,81.22,40.18,85.1,0.51,-3.88,1.0,13.22,12.69,-10.23,3.4
2025-12-03,39.19,80.32,38.35,83.27,0.84,-2.95,1.0,15.03,14.07,-10.81,1.23
2025-12-04,39.8,81.78,38.94,83.21,0.86,-1.43,1.0,13.76,12.94,-9.91,0.64
2025-12-05,37.85,81.83,36.95,81.57,0.9,0.27,1.0,15.65,14.6,-10.01,-1.63
2025-12-06,41.3,84.24,40.77,84.28,0.53,-0.04,1.0,11.4,10.32,-9.63,-0.09
2025-12-07,42.88,82.91,42.45,84.77,0.44,-1.86,1.0,10.52,9.7,-11.82,0.13
2025-12-08,40.72,81.6,39.48,83.49,1.24,-1.89,1.0,13.27,13.15,-11.46,-0.17
2025-12-09,39.24,83.83,38.7,84.38,0.53,-0.55,1.0,10.52,8.99,-11.34,-1.16
2025-12-10,43.54,85.14,42.99,86.6,0.55,-1.46,1.0,8.12,6.7,-12.08,0.8
2025-12-11,41.71,83.07,40.87,85.6,0.83,-2.53,1.0,11.06,10.8,-12.33,0.12
2025-12-12,41.44,83.43,40.86,84.63,0.58,-1.2,1.0,10.99,10.24,-12.69,-1.97
2025-12-13,40.48,82.47,39.36,83.69,1.13,-1.23,1.0,14.78,14.45,-12.86,-1.95
2025-12-14,34.31,81.29,31.91,77.93,2.4,3.37,1.0,27.78,25.83,-10.24,-5.65
2025-12-15,32.73,85.8,30.85,77.26,1.88,8.54,1.0,21.29,19.08,-6.71,-7.55
2025-12-16,36.77,86.66,36.18,81.06,0.59,5.6,1.0,11.79,10.66,-8.81,-5.36
2025-12-17,41.45,87.87,41.0,85.1,0.45,2.77,1.0,6.78,5.52,-10.31,-2.63
2025-12-18,46.4,87.6,46.47,87.04,-0.08,0.56,1.0,4.99,4.26,-11.53,-1.87
2025-12-19,42.92,84.21,41.37,84.31,1.54,-0.11,1.0,14.12,14.24,-11.8,-1.91
2025-12-20,39.38,82.51,38.18,82.83,1.2,-0.32,1.0,14.17,12.67,-14.54,-5.7
