Date,Temperature_Fahrenheit,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,60.38,67.03,64.52,76.02,-4.14,-8.99,1.0,5.66,9.74,4.5,13.59
2025-11-09,54.82,74.55,60.63,86.25,-5.81,-11.69,1.0,14.5,20.45,7.29,18.96
2025-11-10,45.66,76.69,53.33,88.31,-7.67,-11.62,1.0,16.76,24.35,8.93,20.57
2025-11-11,42.25,74.83,50.72,89.1,-8.48,-14.27,1.0,12.7,21.19,5.25,19.53
2025-11-12,45.55,77.19,52.72,90.56,-7.17,-13.37,1.0,5.48,12.83,4.68,18.1
2025-11-13,49.53,77.53,56.91,92.04,-7.38,-14.51,1.0,6.54,14.02,4.29,19.3
2025-11-14,56.61,78.66,62.53,93.43,-5.92,-14.77,1.0,5.89,11.85,4.26,19.51
2025-11-15,66.82,75.92,70.34,94.47,-3.52,-18.55,1.0,6.57,10.12,0.05,18.89
2025-11-16,62.67,71.98,68.47,93.24,-5.8,-21.26,1.0,16.07,22.04,-0.89,21.55
2025-11-17,55.37,72.72,62.47,92.1,-7.1,-19.38,1.0,15.33,22.47,2.14,22.71
2025-11-18,52.7,76.87,59.5,92.65,-6.8,-15.78,1.0,9.79,16.54,6.64,22.71
2025-11-19,51.47,79.55,57.91,93.54,-6.44,-13.99,1.0,8.43,14.92,8.25,22.07
2025-11-20,52.66,81.71,57.45,94.34,-4.78,-12.64,1.0,7.63,12.42,8.39,20.55
2025-11-21,54.8,81.81,59.37,95.28,-4.57,-13.48,1.0,6.97,11.54,6.09,19.06
2025-11-22,53.44,83.05,58.96,96.87,-5.52,-13.82,1.0,9.17,14.93,4.18,18.56
2025-11-23,52.43,83.7,57.68,98.46,-5.24,-14.76,1.0,8.91,14.32,2.09,18.0
2025-11-24,51.99,84.8,56.32,99.03,-4.33,-14.23,1.0,10.54,14.81,1.56,17.2
2025-11-25,57.03,84.44,60.64,99.82,-3.61,-15.38,1.0,5.71,9.21,-3.28,16.33
2025-11-26,53.17,85.37,59.32,99.9,-6.14,-14.53,1.0,13.85,20.06,-5.29,18.15
2025-11-27,44.5,84.63,50.75,99.88,-6.25,-15.25,1.0,13.49,20.27,-6.0,19.37
2025-11-28,41.31,82.82,48.44,99.9,-7.12,-17.08,1.0,13.57,21.02,-8.84,18.96
2025-11-29,40.76,84.19,48.28,99.87,-7.53,-15.68,1.0,12.53,19.77,-7.53,18.7
2025-11-30,40.98,84.38,48.65,99.9,-7.68,-15.52,1.0,11.6,19.47,-7.09,19.12
2025-12-01,39.26,84.22,47.41,99.9,-8.15,-15.68,1.0,13.66,21.66,-7.07,18.29
2025-12-02,40.18,85.1,48.35,99.9,-8.17,-14.8,1.0,12.71,20.86,-6.35,18.2
2025-12-03,38.35,83.27,49.02,99.9,-10.67,-16.63,1.0,14.19,24.74,-7.86,17.86
2025-12-04,38.94,83.21,50.59,99.9,-11.65,-16.69,1.0,12.89,24.58,-8.49,17.32
2025-12-05,36.95,81.57,49.06,99.9,-12.11,-18.33,1.0,14.76,26.71,-10.28,16.7
2025-12-06,40.77,84.28,52.26,99.89,-11.49,-15.61,1.0,10.87,21.81,-9.59,15.52
2025-12-07,42.45,84.77,51.6,99.9,-9.16,-15.13,1.0,10.09,18.86,-9.96,15.26
2025-12-08,39.48,83.49,50.24,99.9,-10.76,-16.41,1.0,12.03,23.91,-9.57,16.24
2025-12-09,38.7,84.38,48.54,99.9,-9.84,-15.52,1.0,9.98,18.82,-10.79,14.36
2025-12-10,42.99,86.6,52.31,99.9,-9.32,-13.3,1.0,7.57,16.01,-10.62,14.11
2025-12-11,40.87,85.6,50.82,99.9,-9.95,-14.3,1.0,10.23,20.75,-9.8,14.42
2025-12-12,40.86,84.63,50.16,99.9,-9.31,-15.27,1.0,10.41,19.55,-11.49,13.3
2025-12-13,39.36,83.69,50.28,99.9,-10.93,-16.21,1.0,13.66,25.37,-11.63,14.26
2025-12-14,31.91,77.93,47.54,99.9,-15.63,-21.97,1.0,25.38,41.46,-13.61,16.33
2025-12-15,30.85,77.26,44.89,99.9,-14.04,-22.64,1.0,19.41,33.12,-15.25,15.09
2025-12-16,36.18,81.06,46.5,99.9,-10.31,-18.84,1.0,11.2,20.98,-14.4,13.48
2025-12-17,41.0,85.1,50.59,99.9,-9.59,-14.8,1.0,6.33,15.12,-13.08,12.17
2025-12-18,46.47,87.04,56.42,99.9,-9.95,-12.86,1.0,5.06,14.21,-12.09,10.98
2025-12-19,41.37,84.31,55.13,99.9,-13.76,-15.59,1.0,12.57,28.0,-11.69,13.68
2025-12-20,38.18,82.83,51.32,99.9,-13.14,-17.07,1.0,12.96,25.82,-14.22,11.37
