Date,Temperature_Fahrenheit,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,68.03,74.49,69.87,66.03,-1.84,8.46,1.0,13.3,15.09,11.95,3.6
2025-11-09,63.26,81.47,66.72,71.16,-3.46,10.31,1.0,22.94,26.53,14.21,3.87
2025-11-10,55.64,82.14,56.32,71.98,-0.68,10.16,1.0,26.73,27.33,14.37,4.23
2025-11-11,54.92,82.31,50.64,72.02,4.28,10.29,1.0,25.38,21.1,12.73,2.45
2025-11-12,59.14,83.91,51.3,73.36,7.84,10.55,1.0,19.06,11.41,11.39,0.91
2025-11-13,62.41,84.6,53.63,78.48,8.78,6.12,1.0,19.42,10.74,11.37,5.74
2025-11-14,68.04,85.65,60.99,84.0,7.05,1.65,1.0,17.31,10.3,11.26,10.08
2025-11-15,74.47,87.48,74.98,84.26,-0.51,3.22,1.0,14.22,14.76,11.61,8.68
2025-11-16,70.24,85.28,70.73,80.19,-0.49,5.09,1.0,23.64,24.3,12.41,8.5
2025-11-17,65.09,83.72,62.15,77.76,2.94,5.96,1.0,25.04,22.15,13.15,8.38
2025-11-18,63.49,84.41,58.98,77.61,4.51,6.8,1.0,20.57,16.03,14.19,7.68
2025-11-19,61.8,85.68,56.97,84.16,4.83,1.52,1.0,18.75,13.98,14.38,12.69
2025-11-20,61.77,86.67,55.9,88.24,5.86,-1.57,1.0,16.73,10.88,13.36,14.45
2025-11-21,63.62,87.52,56.72,89.89,6.9,-2.38,1.0,15.79,8.89,11.8,13.67
2025-11-22,61.91,94.74,55.61,91.06,6.31,3.68,1.0,17.64,11.58,15.86,12.75
2025-11-23,60.77,96.23,54.07,91.89,6.7,4.34,1.0,17.25,10.71,14.62,11.43
2025-11-24,59.35,96.63,52.6,92.2,6.75,4.43,1.0,17.9,11.09,13.39,10.37
2025-11-25,64.57,98.39,56.61,92.35,7.96,6.04,1.0,13.25,5.19,10.67,8.85
2025-11-26,60.48,96.53,54.5,93.74,5.98,2.78,1.0,21.16,15.24,5.87,11.99
2025-11-27,52.14,95.94,46.42,93.35,5.72,2.59,1.0,21.13,15.94,5.31,12.84
2025-11-28,52.21,95.59,42.55,92.09,9.65,3.5,1.0,24.46,15.13,3.93,11.14
2025-11-29,51.25,96.03,41.78,90.97,9.47,5.06,1.0,23.02,13.27,4.31,9.8
2025-11-30,54.04,96.03,41.79,91.73,12.25,4.3,1.0,24.65,12.6,4.56,10.96
2025-12-01,51.72,95.29,39.42,90.24,12.29,5.05,1.0,26.12,13.67,3.99,8.63
2025-12-02,54.48,94.86,40.5,89.75,13.98,5.12,1.0,27.02,13.02,3.42,8.05
2025-12-03,54.52,94.1,38.79,89.36,15.73,4.74,1.0,30.36,14.51,2.97,7.32
2025-12-04,55.04,93.84,39.56,89.29,15.48,4.55,1.0,28.99,13.55,2.14,6.71
2025-12-05,52.83,92.7,37.18,88.55,15.65,4.15,1.0,30.64,14.83,0.86,5.35
2025-12-06,56.34,94.53,42.16,89.33,14.18,5.2,1.0,26.45,11.72,0.66,4.96
2025-12-07,55.81,95.88,43.43,88.2,12.39,7.68,1.0,23.45,10.69,1.15,3.56
2025-12-08,53.4,94.7,40.88,87.62,12.53,7.08,1.0,25.95,14.54,1.63,3.96
2025-12-09,53.62,93.22,39.62,87.66,14.0,5.56,1.0,24.9,9.9,-1.95,2.12
2025-12-10,56.46,97.14,43.56,88.67,12.9,8.47,1.0,21.04,7.27,-0.08,2.88
2025-12-11,53.09,96.42,41.4,88.44,11.69,7.98,1.0,22.45,11.32,1.02,2.96
2025-12-12,53.19,96.51,41.27,87.66,11.92,8.85,1.0,22.74,10.65,0.39,1.06
2025-12-13,52.97,95.72,40.71,88.61,12.26,7.11,1.0,27.27,15.8,0.4,2.97
2025-12-14,47.5,92.08,33.82,87.89,13.68,4.19,1.0,40.97,27.74,0.55,4.32
2025-12-15,43.34,92.22,31.32,87.62,12.02,4.59,1.0,31.9,19.55,-0.29,2.81
2025-12-16,45.91,93.63,34.54,87.49,11.37,6.14,1.0,27.18,15.72,-0.16,2.54
