Date,Temperature_Fahrenheit,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,64.11,67.25,66.74,66.74,-2.62,0.51,1.0,9.39,11.95,4.71,4.31
2025-11-09,58.08,76.04,64.53,70.16,-6.45,5.88,1.0,17.77,24.34,8.77,2.87
2025-11-10,47.97,77.34,50.54,69.66,-2.58,7.68,1.0,19.06,21.56,9.58,1.91
2025-11-11,44.97,78.82,46.09,70.5,-1.12,8.32,1.0,15.42,16.55,9.23,0.92
2025-11-12,48.59,81.04,49.12,73.59,-0.53,7.46,1.0,8.52,9.23,8.53,1.13
2025-11-13,51.2,81.93,52.56,74.78,-1.36,7.15,1.0,8.21,9.67,8.7,2.04
2025-11-14,58.09,83.12,62.38,76.56,-4.29,6.56,1.0,7.36,11.69,8.72,2.64
2025-11-15,69.54,83.62,80.8,73.36,-11.26,10.26,1.0,9.29,20.58,7.75,-2.22
2025-11-16,63.11,79.61,72.57,66.0,-9.46,13.61,1.0,16.51,26.14,6.74,-5.69
2025-11-17,55.51,76.42,60.16,69.44,-4.65,6.98,1.0,15.46,20.17,5.85,0.06
2025-11-18,53.94,78.23,57.86,75.39,-3.93,2.84,1.0,11.02,14.91,8.0,5.46
2025-11-19,52.77,84.59,58.22,80.58,-5.45,4.01,1.0,9.73,15.23,13.29,9.11
2025-11-20,52.93,88.05,62.1,81.91,-9.17,6.14,1.0,7.9,17.08,14.74,8.12
2025-11-21,54.5,90.13,63.72,80.87,-9.22,9.26,1.0,6.67,15.9,14.41,4.64
2025-11-22,52.29,91.82,59.05,81.58,-6.76,10.24,1.0,8.02,15.02,12.94,3.27
2025-11-23,51.17,93.39,58.06,82.84,-6.89,10.55,1.0,7.64,14.7,11.78,2.38
2025-11-24,50.01,94.14,60.14,82.21,-10.12,11.93,1.0,8.56,18.63,10.9,0.38
2025-11-25,55.6,95.01,62.62,82.98,-7.02,12.02,1.0,4.28,11.2,7.29,-0.51
2025-11-26,50.38,95.48,67.02,79.65,-16.64,15.83,1.0,11.06,27.77,4.82,-2.1
2025-11-27,42.71,95.31,60.74,75.91,-18.03,19.4,1.0,11.7,30.26,4.68,-4.61
2025-11-28,38.62,94.59,51.43,79.57,-12.81,15.02,1.0,10.88,24.01,2.93,-1.37
2025-11-29,38.5,94.19,46.44,80.09,-7.94,14.09,1.0,10.27,17.93,2.46,-1.08
2025-11-30,38.57,94.68,45.58,81.57,-7.01,13.11,1.0,9.19,16.4,3.21,0.79
2025-12-01,35.91,94.34,42.49,81.94,-6.58,12.41,1.0,10.31,16.74,3.05,0.33
2025-12-02,36.96,94.34,43.78,82.43,-6.82,11.91,1.0,9.5,16.29,2.89,0.73
2025-12-03,34.77,94.49,42.0,82.12,-7.24,12.38,1.0,10.61,17.73,3.37,0.08
2025-12-04,35.91,94.79,43.57,82.92,-7.66,11.86,1.0,9.86,17.56,3.09,0.35
2025-12-05,33.09,94.7,40.6,82.05,-7.51,12.64,1.0,10.9,18.25,2.85,-1.15
2025-12-06,38.97,95.97,46.22,83.24,-7.25,12.73,1.0,9.08,15.77,2.1,-1.13
2025-12-07,40.52,95.89,46.73,82.81,-6.21,13.09,1.0,8.15,13.99,1.16,-1.83
2025-12-08,36.94,95.59,44.97,82.29,-8.03,13.29,1.0,8.82,18.24,2.65,-1.31
