Date,Temperature_Fahrenheit,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,64.26,67.34,60.84,61.92,3.42,5.42,1.0,9.53,6.05,4.81,-0.51
2025-11-09,58.94,72.47,55.9,72.45,3.04,0.02,1.0,18.62,15.71,5.21,5.16
2025-11-10,46.78,73.71,46.4,74.75,0.38,-1.04,1.0,17.87,17.41,5.95,7.0
2025-11-11,44.27,74.53,42.75,75.95,1.52,-1.42,1.0,14.73,13.22,4.95,6.38
2025-11-12,48.21,75.85,45.14,78.33,3.07,-2.48,1.0,8.14,5.25,3.34,5.88
2025-11-13,51.74,76.55,48.33,80.12,3.41,-3.57,1.0,8.75,5.44,3.31,7.38
2025-11-14,60.59,77.47,55.91,81.35,4.69,-3.88,1.0,9.87,5.22,3.07,7.43
2025-11-15,74.99,77.23,67.31,80.49,7.68,-3.25,1.0,14.74,7.09,1.36,4.91
2025-11-16,66.87,74.66,64.43,75.78,2.44,-1.12,1.0,20.26,17.99,1.79,4.1
2025-11-17,56.34,73.61,57.99,74.51,-1.64,-0.91,1.0,16.3,17.99,3.04,5.13
2025-11-18,54.82,77.6,54.58,78.54,0.24,-0.93,1.0,11.91,11.62,7.38,8.6
2025-11-19,55.25,85.42,53.08,97.35,2.17,-11.93,1.0,12.21,10.09,14.11,25.88
2025-11-20,59.64,86.51,55.98,99.41,3.65,-12.9,1.0,14.6,10.96,13.19,25.62
2025-11-21,61.69,87.32,57.68,99.9,4.01,-12.58,1.0,13.85,9.86,11.61,23.67
2025-11-22,56.44,89.19,55.96,99.9,0.48,-10.71,1.0,12.17,11.93,10.32,21.58
2025-11-23,54.53,90.15,49.91,99.9,4.62,-9.75,1.0,11.01,6.56,8.54,19.44
2025-11-24,54.43,91.03,40.22,99.9,14.2,-8.87,1.0,12.98,-1.29,7.79,18.07
2025-11-25,58.43,92.42,40.66,99.9,17.78,-7.48,1.0,7.11,-10.77,4.7,16.4
2025-11-26,57.36,91.37,39.6,99.9,17.76,-8.53,1.0,18.04,0.34,0.71,18.15
2025-11-27,48.65,90.85,39.75,99.9,8.9,-9.05,1.0,17.64,9.27,0.22,19.38
2025-11-28,43.22,90.72,37.62,99.9,5.6,-9.18,1.0,15.48,10.21,-0.94,18.96
2025-11-29,42.25,90.81,40.24,99.9,2.02,-9.09,1.0,14.02,11.72,-0.91,18.73
2025-11-30,42.04,90.78,42.44,99.9,-0.4,-9.12,1.0,12.66,13.25,-0.69,19.12
2025-12-01,39.11,90.3,41.16,99.9,-2.05,-9.6,1.0,13.51,15.4,-1.0,18.29
2025-12-02,40.57,90.32,39.87,99.9,0.7,-9.58,1.0,13.11,12.38,-1.12,18.2
2025-12-03,38.78,89.85,43.53,99.9,-4.75,-10.05,1.0,14.62,19.25,-1.28,17.86
2025-12-04,39.74,89.65,41.98,99.9,-2.24,-10.25,1.0,13.7,15.97,-2.05,17.32
2025-12-05,36.52,89.06,41.35,99.83,-4.83,-10.77,1.0,14.32,19.0,-2.78,16.63
2025-12-06,42.68,89.42,40.82,99.65,1.86,-10.23,1.0,12.79,10.37,-4.45,15.28
2025-12-07,43.21,89.32,35.35,97.11,7.86,-7.79,1.0,10.84,2.6,-5.41,12.47
2025-12-08,40.19,88.13,31.5,95.97,8.69,-7.84,1.0,12.07,4.76,-4.81,12.36
