Date,Temperature_Fahrenheit,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,60.84,61.92,59.53,70.05,1.31,-8.14,1.0,6.11,4.74,-0.62,7.62
2025-11-09,55.9,72.45,51.77,83.11,4.13,-10.66,1.0,15.58,11.59,5.18,15.83
2025-11-10,46.4,74.75,43.5,85.02,2.9,-10.27,1.0,17.49,14.51,6.99,17.28
2025-11-11,42.75,75.95,41.15,85.57,1.6,-9.62,1.0,13.21,11.61,6.37,16.0
2025-11-12,45.14,78.33,45.23,88.89,-0.09,-10.56,1.0,5.06,5.34,5.82,16.44
2025-11-13,48.33,80.12,48.47,90.18,-0.15,-10.06,1.0,5.34,5.59,6.88,17.44
2025-11-14,55.91,81.35,55.89,90.46,0.02,-9.11,1.0,5.18,5.2,6.95,16.54
2025-11-15,67.31,80.49,65.41,88.54,1.9,-8.05,1.0,7.06,5.2,4.61,12.96
2025-11-16,64.43,75.78,59.08,83.65,5.35,-7.87,1.0,17.82,12.65,2.91,11.96
2025-11-17,57.99,74.51,53.27,81.2,4.72,-6.68,1.0,17.94,13.28,3.94,11.81
2025-11-18,54.58,78.54,52.28,85.64,2.3,-7.1,1.0,11.66,9.32,8.31,15.71
2025-11-19,53.08,97.35,51.75,90.09,1.33,7.26,1.0,10.04,8.76,26.04,18.62
2025-11-20,55.98,99.41,54.23,90.88,1.76,8.52,1.0,10.95,9.2,26.09,17.09
2025-11-21,57.68,99.9,55.93,92.0,1.75,7.9,1.0,9.85,8.11,24.18,15.77
2025-11-22,55.96,99.9,53.11,92.45,2.85,7.45,1.0,11.69,9.08,21.02,14.14
2025-11-23,53.09,99.9,51.5,92.58,1.58,7.32,1.0,9.4,7.96,18.34,12.06
2025-11-30,40.88,99.9,51.37,91.96,-10.49,7.94,1.0,-0.42,10.24,18.16,11.71
2025-12-01,40.19,99.9,50.93,92.81,-10.75,7.09,1.0,-2.31,8.38,16.43,10.74
2025-12-02,40.65,99.9,56.12,94.12,-15.47,5.78,1.0,-11.0,4.35,11.54,10.5
2025-12-03,39.55,99.9,50.17,91.91,-10.62,7.99,1.0,2.07,12.77,9.26,10.47
2025-12-04,39.66,99.9,42.44,91.58,-2.78,8.32,1.0,8.79,12.12,9.24,11.05
2025-12-05,37.62,99.9,38.9,91.29,-1.29,8.61,1.0,10.53,12.09,8.22,10.31
2025-12-06,40.56,99.9,39.04,90.97,1.52,8.93,1.0,11.51,9.68,8.1,9.7
2025-12-07,42.48,99.9,39.59,90.6,2.89,9.3,1.0,13.76,11.12,8.57,9.92
2025-12-08,40.89,99.9,38.93,90.04,1.96,9.86,1.0,14.9,12.77,8.52,8.32
2025-12-09,40.04,99.9,39.89,90.42,0.15,9.48,1.0,13.18,13.02,8.57,8.81
2025-12-10,43.69,99.9,38.64,88.96,5.05,10.94,1.0,19.05,13.85,8.63,6.75
2025-12-11,41.77,99.87,38.02,90.98,3.75,8.89,1.0,16.54,12.85,8.3,8.52
2025-12-12,41.4,99.85,36.68,90.27,4.72,9.58,1.0,18.53,13.63,7.81,6.87
2025-12-13,40.57,99.53,40.92,92.05,-0.34,7.48,1.0,10.15,9.98,5.53,7.65
2025-12-14,34.77,96.86,42.33,93.06,-7.55,3.81,1.0,2.46,9.69,2.15,8.47
2025-12-15,32.08,96.65,39.48,91.73,-7.4,4.92,1.0,5.51,13.97,3.66,8.04
2025-12-16,36.5,98.68,40.27,92.08,-3.77,6.59,1.0,6.49,9.14,3.15,6.31
2025-12-17,41.76,99.67,43.59,93.79,-1.84,5.88,1.0,6.76,7.84,2.54,8.14
2025-12-18,46.0,99.82,41.37,93.37,2.73,6.4,1.0,15.51,11.2,4.47,8.06
2025-12-19,43.03,98.48,,,,,1.0,12.36,,2.3,
2025-12-20,40.0,97.9,,,,,1.0,11.14,,2.05,
