date,label,avg_temp_F,avg_humidity,pct_day_brooding,pct_day_failing,alive,total_readings
2025-11-08,normal,62.16,71.45,0.0,0.0,1,48
2025-11-09,normal,58.65,81.94,0.0,0.0,1,96
2025-11-10,normal,48.52,83.86,0.0,0.0,1,96
2025-11-11,normal,44.63,85.68,0.0,0.0,1,96
2025-11-12,normal,46.76,87.2,0.0,0.0,1,96
2025-11-13,normal,50.26,89.9,0.0,0.0,1,96
2025-11-14,normal,56.41,91.89,0.0,0.0,1,96
2025-11-15,normal,68.4,88.14,0.0,0.0,1,96
2025-11-16,normal,63.84,83.71,0.0,0.0,1,96
2025-11-17,normal,58.43,86.02,0.0,0.0,1,96
2025-11-18,normal,56.46,89.39,0.0,0.0,1,96
2025-11-19,normal,56.06,93.64,0.0,0.0,1,96
2025-11-20,normal,57.3,95.53,0.0,0.0,1,96
2025-11-21,normal,59.63,96.52,0.0,0.0,1,96
2025-11-22,normal,57.68,96.71,0.0,0.0,1,96
2025-11-23,normal,56.42,97.86,0.0,0.0,1,96
2025-11-24,normal,53.64,99.9,0.0,0.0,1,96
2025-11-25,normal,58.33,99.89,0.0,0.0,1,96
2025-11-26,normal,54.66,98.96,0.0,0.0,1,96
2025-11-27,normal,47.22,97.13,0.0,0.0,1,96
2025-11-28,normal,43.26,95.46,0.0,0.0,1,96
2025-11-29,normal,42.0,95.88,0.0,0.0,1,96
2025-11-30,normal,42.07,96.45,0.0,0.0,1,96
2025-12-01,normal,40.75,95.33,0.0,0.0,1,96
2025-12-02,normal,42.1,95.49,0.0,0.0,1,96
2025-12-03,normal,40.92,95.01,0.0,0.0,1,96
2025-12-04,normal,41.32,94.99,0.0,0.0,1,96
2025-12-05,normal,38.66,94.36,0.0,0.0,1,96
2025-12-06,normal,41.91,95.79,0.0,0.0,1,96
2025-12-07,normal,43.85,94.76,0.0,0.0,1,96
2025-12-08,normal,41.11,93.71,0.0,0.0,1,96
2025-12-09,normal,39.86,94.57,0.0,0.0,1,96
2025-12-10,normal,43.81,97.66,0.0,0.0,1,96
2025-12-11,normal,42.7,95.48,0.0,0.0,1,96
2025-12-12,normal,42.52,95.2,0.0,0.0,1,96
2025-12-13,normal,41.63,93.58,0.0,0.0,1,96
2025-12-14,normal,35.8,89.61,0.0,0.0,1,96
2025-12-15,normal,32.61,91.3,0.0,0.0,1,96
2025-12-16,normal,37.09,94.21,0.0,0.0,1,96
2025-12-17,normal,41.74,95.7,0.0,0.0,1,96
2025-12-18,normal,47.73,96.9,0.0,0.0,1,96
2025-12-19,normal,44.85,96.15,0.0,0.0,1,96
2025-12-20,normal,41.38,95.5,0.0,0.0,1,49
