date,label,avg_temp_F,avg_humidity,pct_day_brooding,pct_day_failing,alive,total_readings
2025-11-08,normal,63.73,59.49,0.0,0.0,1,48
2025-11-09,normal,60.09,61.5,0.0,0.0,1,96
2025-11-10,normal,52.93,59.76,0.0,0.0,1,96
2025-11-11,normal,48.78,61.0,0.0,0.0,1,96
2025-11-12,normal,49.75,63.42,0.0,0.0,1,96
2025-11-13,normal,52.46,67.38,0.0,0.0,1,96
2025-11-14,normal,56.95,71.25,0.0,0.0,1,96
2025-11-15,normal,68.22,73.07,0.0,0.0,1,96
2025-11-16,normal,66.07,66.45,0.0,0.0,1,96
2025-11-17,normal,58.68,67.07,0.0,0.0,1,96
2025-11-18,normal,55.4,72.55,0.0,0.0,1,96
2025-11-19,normal,54.5,76.51,0.0,0.0,1,96
2025-11-20,normal,55.23,78.95,0.0,0.0,1,96
2025-11-21,normal,58.41,81.03,0.0,0.0,1,96
2025-11-22,normal,58.0,82.14,0.0,0.0,1,96
2025-11-23,normal,56.49,82.64,0.0,0.0,1,96
2025-11-24,normal,54.97,83.52,0.0,0.0,1,96
2025-11-25,normal,59.09,84.28,0.0,0.0,1,96
2025-11-26,normal,56.49,63.38,0.0,0.0,1,96
2025-11-27,normal,49.2,64.63,0.0,0.0,1,96
2025-11-28,normal,45.55,69.77,0.0,0.0,1,96
2025-11-29,normal,45.11,75.08,0.0,0.0,1,95
2025-11-30,normal,45.42,66.38,0.0,0.0,1,96
2025-12-01,normal,44.27,74.05,0.0,0.0,1,96
2025-12-02,normal,45.14,76.36,0.0,0.0,1,96
2025-12-03,normal,44.28,76.95,0.0,0.0,1,96
2025-12-04,normal,44.69,78.05,0.0,0.0,1,96
2025-12-05,normal,43.53,78.99,0.0,0.0,1,96
2025-12-06,normal,46.52,79.64,0.0,0.0,1,96
2025-12-07,normal,48.31,78.25,0.0,0.0,1,96
2025-12-08,normal,46.57,76.7,0.0,0.0,1,96
2025-12-09,normal,45.79,76.48,0.0,0.0,1,96
2025-12-10,normal,48.53,75.53,0.0,0.0,1,96
2025-12-11,normal,47.42,75.35,0.0,0.0,1,96
2025-12-12,normal,47.88,75.67,0.0,0.0,1,96
2025-12-13,normal,47.15,74.1,0.0,0.0,1,96
2025-12-14,normal,43.53,69.99,0.0,0.0,1,96
2025-12-15,normal,40.63,71.26,0.0,0.0,1,96
2025-12-16,normal,41.84,72.74,0.0,0.0,1,45
