date,label,avg_temp_F,avg_humidity,pct_day_brooding,pct_day_failing,alive,total_readings
2025-11-08,normal,62.64,54.66,0.0,0.0,1,48
2025-11-09,normal,57.07,57.47,0.0,0.0,1,96
2025-11-10,normal,48.64,56.22,0.0,0.0,1,96
2025-11-11,normal,46.4,57.84,0.0,0.0,1,96
2025-11-12,normal,49.67,59.66,0.0,0.0,1,96
2025-11-13,normal,51.99,61.93,0.0,0.0,1,96
2025-11-14,normal,57.5,64.38,0.0,0.0,1,96
2025-11-15,normal,68.16,66.83,0.0,0.0,1,96
2025-11-16,normal,62.58,66.07,0.0,0.0,1,96
2025-11-17,normal,55.45,63.3,0.0,0.0,1,96
2025-11-18,normal,53.7,65.31,0.0,0.0,1,96
2025-11-19,normal,53.34,69.72,0.0,0.0,1,96
2025-11-20,normal,54.53,72.9,0.0,0.0,1,96
2025-11-21,normal,57.53,75.45,0.0,0.0,1,96
2025-11-22,normal,56.13,77.14,0.0,0.0,1,96
2025-11-23,normal,54.82,78.74,0.0,0.0,1,96
2025-11-24,normal,53.32,81.3,0.0,0.0,1,96
2025-11-25,normal,59.0,82.79,0.0,0.0,1,96
2025-11-26,normal,53.95,81.87,0.0,0.0,1,96
2025-11-27,normal,45.82,79.39,0.0,0.0,1,96
2025-11-28,normal,43.52,79.32,0.0,0.0,1,96
2025-11-29,normal,43.93,80.87,0.0,0.0,1,96
2025-11-30,normal,44.3,79.72,0.0,0.0,1,96
2025-12-01,normal,43.03,79.93,0.0,0.0,1,96
2025-12-02,normal,43.94,80.99,0.0,0.0,1,96
2025-12-03,normal,42.82,81.0,0.0,0.0,1,96
2025-12-04,normal,43.17,80.72,0.0,0.0,1,96
2025-12-05,normal,41.38,81.05,0.0,0.0,1,96
2025-12-06,normal,45.54,81.52,0.0,0.0,1,96
2025-12-07,normal,47.08,81.45,0.0,0.0,1,96
2025-12-08,normal,44.28,80.16,0.0,0.0,1,96
2025-12-09,normal,44.4,80.94,0.0,0.0,1,96
2025-12-10,normal,47.83,81.26,0.0,0.0,1,96
2025-12-11,normal,45.63,81.15,0.0,0.0,1,96
2025-12-12,normal,46.31,81.11,0.0,0.0,1,96
2025-12-13,normal,44.22,81.57,0.0,0.0,1,96
2025-12-14,normal,37.9,80.04,0.0,0.0,1,96
2025-12-15,normal,37.34,78.27,0.0,0.0,1,96
2025-12-16,normal,39.3,77.47,0.0,0.0,1,45
