date,label,avg_temp_F,avg_humidity,pct_day_brooding,pct_day_failing,alive,total_readings
2025-11-08,normal,63.7,65.42,0.0,0.0,1,48
2025-11-09,normal,64.14,72.6,0.0,0.0,1,96
2025-11-10,normal,57.76,72.84,0.0,0.0,1,96
2025-11-11,normal,53.9,71.57,0.0,0.0,1,96
2025-11-12,normal,49.93,76.69,0.0,0.0,1,96
2025-11-13,normal,42.13,88.95,0.0,0.0,1,96
2025-11-14,normal,48.79,88.95,0.0,0.0,1,96
2025-11-15,normal,56.69,88.31,0.0,0.0,1,96
2025-11-16,normal,50.6,85.37,0.0,0.0,1,96
2025-11-17,normal,60.71,85.96,0.0,0.0,1,96
2025-11-18,normal,61.75,89.32,0.0,0.0,1,96
2025-11-19,normal,61.9,90.91,0.0,0.0,1,96
2025-11-20,normal,61.64,91.68,0.0,0.0,1,96
2025-11-21,normal,62.98,91.35,0.0,0.0,1,96
2025-11-22,normal,62.42,91.42,0.0,0.0,1,96
2025-11-23,normal,62.3,91.4,0.0,0.0,1,96
2025-11-24,normal,68.11,88.62,0.0,0.0,1,96
2025-11-25,normal,71.49,86.12,0.0,0.0,1,96
2025-11-26,normal,65.65,67.86,0.0,0.0,1,96
2025-11-27,normal,59.79,71.15,0.0,0.0,1,96
2025-11-28,normal,56.32,77.93,0.0,0.0,1,96
2025-11-29,normal,54.2,79.91,0.0,0.0,1,96
2025-11-30,normal,52.78,66.45,0.0,0.0,1,96
2025-12-01,normal,52.49,75.13,0.0,0.0,1,96
2025-12-02,normal,52.96,76.62,0.0,0.0,1,96
2025-12-03,normal,51.54,75.4,0.0,0.0,1,72
