date,label,avg_temp_F,avg_humidity,pct_day_brooding,pct_day_failing,alive,total_readings
2025-11-08,normal,61.47,62.62,0.0,0.0,1,48
2025-11-09,normal,57.42,68.7,0.0,0.0,1,96
2025-11-10,normal,48.33,67.85,0.0,0.0,1,96
2025-11-11,normal,45.03,68.01,0.0,0.0,1,96
2025-11-12,normal,45.43,73.4,0.0,0.0,1,96
2025-11-13,normal,41.99,86.53,0.0,0.0,1,96
2025-11-14,normal,48.92,86.24,0.0,0.0,1,96
2025-11-15,normal,57.22,86.49,0.0,0.0,1,96
2025-11-16,normal,49.31,78.67,0.0,0.0,1,96
2025-11-17,normal,55.78,74.77,0.0,0.0,1,96
2025-11-18,normal,56.31,79.62,0.0,0.0,1,96
2025-11-19,normal,55.73,84.06,0.0,0.0,1,96
2025-11-20,normal,56.18,86.2,0.0,0.0,1,96
2025-11-21,normal,57.85,87.38,0.0,0.0,1,96
2025-11-22,normal,56.03,87.17,0.0,0.0,1,96
2025-11-23,normal,56.44,88.3,0.0,0.0,1,96
2025-11-24,normal,60.24,90.17,0.0,0.0,1,96
2025-11-25,normal,64.26,94.23,0.0,0.0,1,96
2025-11-26,normal,61.28,98.95,0.0,0.0,1,96
2025-11-27,normal,52.68,99.89,0.0,0.0,1,96
2025-11-28,normal,47.66,99.9,0.0,0.0,1,96
2025-11-29,normal,45.31,99.9,0.0,0.0,1,95
2025-11-30,normal,45.78,99.9,0.0,0.0,1,96
2025-12-01,normal,43.71,99.9,0.0,0.0,1,96
2025-12-02,normal,44.43,99.9,0.0,0.0,1,96
2025-12-03,normal,43.32,99.9,0.0,0.0,1,96
2025-12-04,normal,43.66,99.9,0.0,0.0,1,96
2025-12-05,normal,41.96,99.9,0.0,0.0,1,96
2025-12-06,normal,45.42,99.9,0.0,0.0,1,96
2025-12-07,normal,47.34,99.9,0.0,0.0,1,96
2025-12-08,normal,44.29,99.9,0.0,0.0,1,96
2025-12-09,normal,44.88,99.9,0.0,0.0,1,96
2025-12-10,normal,48.44,99.9,0.0,0.0,1,96
2025-12-11,normal,45.74,99.9,0.0,0.0,1,96
2025-12-12,normal,45.65,99.9,0.0,0.0,1,96
2025-12-13,normal,44.59,99.9,0.0,0.0,1,96
2025-12-14,normal,38.15,99.9,0.0,0.0,1,96
2025-12-15,normal,35.61,99.9,0.0,0.0,1,96
2025-12-16,normal,38.99,99.9,0.0,0.0,1,96
2025-12-17,normal,45.87,99.9,0.0,0.0,1,96
2025-12-18,normal,50.45,99.9,0.0,0.0,1,96
2025-12-19,normal,46.76,99.9,0.0,0.0,1,96
2025-12-20,normal,42.2,99.9,0.0,0.0,1,49
