date,label,avg_temp_F,avg_humidity,pct_day_brooding,pct_day_failing,alive,total_readings
2025-11-08,normal,60.63,65.99,0.0,0.0,1,48
2025-11-09,normal,55.03,74.47,0.0,0.0,1,96
2025-11-10,normal,45.81,76.74,0.0,0.0,1,96
2025-11-11,normal,42.25,74.81,0.0,0.0,1,96
2025-11-12,normal,45.43,77.16,0.0,0.0,1,96
2025-11-13,normal,49.45,77.52,0.0,0.0,1,96
2025-11-14,normal,56.36,78.67,0.0,0.0,1,96
2025-11-15,normal,66.74,76.01,0.0,0.0,1,96
2025-11-16,normal,62.88,71.97,0.0,0.0,1,96
2025-11-17,normal,55.47,72.71,0.0,0.0,1,96
2025-11-18,normal,52.72,76.76,0.0,0.0,1,96
2025-11-19,normal,51.49,79.52,0.0,0.0,1,96
2025-11-20,normal,52.62,81.66,0.0,0.0,1,96
2025-11-21,normal,54.76,81.79,0.0,0.0,1,96
2025-11-22,normal,53.5,83.03,0.0,0.0,1,96
2025-11-23,normal,52.45,83.69,0.0,0.0,1,96
2025-11-24,normal,51.94,84.79,0.0,0.0,1,96
2025-11-25,normal,56.92,84.45,0.0,0.0,1,96
2025-11-26,normal,53.41,85.34,0.0,0.0,1,96
2025-11-27,normal,44.61,84.67,0.0,0.0,1,96
2025-11-28,normal,41.37,82.83,0.0,0.0,1,96
2025-11-29,normal,40.73,84.15,0.0,0.0,1,96
2025-11-30,normal,41.02,84.41,0.0,0.0,1,96
2025-12-01,normal,39.25,84.19,0.0,0.0,1,96
2025-12-02,normal,40.21,85.13,0.0,0.0,1,96
2025-12-03,normal,38.34,83.27,0.0,0.0,1,96
2025-12-04,normal,38.97,83.27,0.0,0.0,1,96
2025-12-05,normal,36.94,81.55,0.0,0.0,1,96
2025-12-06,normal,40.68,84.24,0.0,0.0,1,96
2025-12-07,normal,42.46,84.75,0.0,0.0,1,96
2025-12-08,normal,39.56,83.55,0.0,0.0,1,96
2025-12-09,normal,38.63,84.3,0.0,0.0,1,96
2025-12-10,normal,42.98,86.59,0.0,0.0,1,96
2025-12-11,normal,40.92,85.64,0.0,0.0,1,96
2025-12-12,normal,40.84,84.64,0.0,0.0,1,96
2025-12-13,normal,39.45,83.78,0.0,0.0,1,96
2025-12-14,normal,32.05,78.02,0.0,0.0,1,96
2025-12-15,normal,30.74,77.21,0.0,0.0,1,96
2025-12-16,normal,36.1,80.95,0.0,0.0,1,96
2025-12-17,normal,40.94,85.07,0.0,0.0,1,96
2025-12-18,normal,46.34,87.02,0.0,0.0,1,96
2025-12-19,normal,41.58,84.41,0.0,0.0,1,96
2025-12-20,normal,38.14,82.74,0.0,0.0,1,49
