date,label,avg_temp_F,avg_humidity,pct_day_brooding,pct_day_failing,alive,total_readings
2025-11-08,normal,64.61,74.43,0.0,0.0,1,48
2025-11-09,normal,60.79,86.15,0.0,0.0,1,96
2025-11-10,normal,53.45,88.31,0.0,0.0,1,96
2025-11-11,normal,50.72,89.07,0.0,0.0,1,96
2025-11-12,normal,52.62,90.51,0.0,0.0,1,96
2025-11-13,normal,56.82,92.02,0.0,0.0,1,96
2025-11-14,normal,62.36,93.39,0.0,0.0,1,96
2025-11-15,normal,70.25,94.46,0.0,0.0,1,96
2025-11-16,normal,68.62,93.29,0.0,0.0,1,96
2025-11-17,normal,62.56,92.1,0.0,0.0,1,96
2025-11-18,normal,59.53,92.62,0.0,0.0,1,96
2025-11-19,normal,57.95,93.54,0.0,0.0,1,96
2025-11-20,normal,57.42,94.32,0.0,0.0,1,96
2025-11-21,normal,59.32,95.26,0.0,0.0,1,96
2025-11-22,normal,59.02,96.83,0.0,0.0,1,96
2025-11-23,normal,57.68,98.45,0.0,0.0,1,96
2025-11-24,normal,56.31,99.01,0.0,0.0,1,96
2025-11-25,normal,60.52,99.81,0.0,0.0,1,96
2025-11-26,normal,59.5,99.9,0.0,0.0,1,96
2025-11-27,normal,50.87,99.88,0.0,0.0,1,96
2025-11-28,normal,48.47,99.9,0.0,0.0,1,96
2025-11-29,normal,48.26,99.87,0.0,0.0,1,96
2025-11-30,normal,48.65,99.9,0.0,0.0,1,96
2025-12-01,normal,47.42,99.9,0.0,0.0,1,96
2025-12-02,normal,48.32,99.9,0.0,0.0,1,96
2025-12-03,normal,48.98,99.9,0.0,0.0,1,96
2025-12-04,normal,50.6,99.9,0.0,0.0,1,96
2025-12-05,normal,49.07,99.9,0.0,0.0,1,96
2025-12-06,normal,52.23,99.89,0.0,0.0,1,96
2025-12-07,normal,51.62,99.9,0.0,0.0,1,96
2025-12-08,normal,50.31,99.9,0.0,0.0,1,96
2025-12-09,normal,48.51,99.9,0.0,0.0,1,96
2025-12-10,normal,52.25,99.9,0.0,0.0,1,96
2025-12-11,normal,50.88,99.9,0.0,0.0,1,96
2025-12-12,normal,50.14,99.9,0.0,0.0,1,96
2025-12-13,normal,50.33,99.9,0.0,0.0,1,96
2025-12-14,normal,47.62,99.9,0.0,0.0,1,96
2025-12-15,normal,44.84,99.9,0.0,0.0,1,96
2025-12-16,normal,46.49,99.9,0.0,0.0,1,96
2025-12-17,normal,50.47,99.9,0.0,0.0,1,96
2025-12-18,normal,56.3,99.9,0.0,0.0,1,96
2025-12-19,normal,55.29,99.9,0.0,0.0,1,96
2025-12-20,normal,51.31,99.9,0.0,0.0,1,49
