date,label,avg_temp_F,avg_humidity,pct_day_brooding,pct_day_failing,alive,total_readings
2025-11-08,normal,69.66,65.06,0.0,0.0,1,48
2025-11-09,normal,66.9,71.19,0.0,0.0,1,96
2025-11-10,normal,56.51,71.93,0.0,0.0,1,96
2025-11-11,normal,50.69,72.04,0.0,0.0,1,96
2025-11-12,normal,51.23,73.27,0.0,0.0,1,96
2025-11-13,normal,53.58,78.37,0.0,0.0,1,96
2025-11-14,normal,60.65,83.92,0.0,0.0,1,96
2025-11-15,normal,74.88,84.3,0.0,0.0,1,96
2025-11-16,normal,70.96,80.28,0.0,0.0,1,96
2025-11-17,normal,62.26,77.8,0.0,0.0,1,96
2025-11-18,normal,59.02,77.56,0.0,0.0,1,96
2025-11-19,normal,57.02,84.01,0.0,0.0,1,96
2025-11-20,normal,55.91,88.2,0.0,0.0,1,96
2025-11-21,normal,56.69,89.86,0.0,0.0,1,96
2025-11-22,normal,55.66,91.04,0.0,0.0,1,96
2025-11-23,normal,54.1,91.88,0.0,0.0,1,96
2025-11-24,normal,52.59,92.21,0.0,0.0,1,96
2025-11-25,normal,56.51,92.34,0.0,0.0,1,96
2025-11-26,normal,54.7,93.72,0.0,0.0,1,96
2025-11-27,normal,46.52,93.38,0.0,0.0,1,96
2025-11-28,normal,42.63,92.12,0.0,0.0,1,96
2025-11-29,normal,41.75,90.97,0.0,0.0,1,96
2025-11-30,normal,41.84,91.73,0.0,0.0,1,96
2025-12-01,normal,39.41,90.27,0.0,0.0,1,96
2025-12-02,normal,40.53,89.76,0.0,0.0,1,96
2025-12-03,normal,38.79,89.36,0.0,0.0,1,96
2025-12-04,normal,39.58,89.3,0.0,0.0,1,96
2025-12-05,normal,37.17,88.55,0.0,0.0,1,96
2025-12-06,normal,42.04,89.33,0.0,0.0,1,96
2025-12-07,normal,43.45,88.2,0.0,0.0,1,96
2025-12-08,normal,40.97,87.64,0.0,0.0,1,96
2025-12-09,normal,39.56,87.64,0.0,0.0,1,96
2025-12-10,normal,43.54,88.65,0.0,0.0,1,96
2025-12-11,normal,41.44,88.47,0.0,0.0,1,96
2025-12-12,normal,41.25,87.66,0.0,0.0,1,96
2025-12-13,normal,40.78,88.6,0.0,0.0,1,96
2025-12-14,normal,33.97,87.92,0.0,0.0,1,96
2025-12-15,normal,31.25,87.61,0.0,0.0,1,96
2025-12-16,normal,35.75,88.13,0.0,0.0,1,96
2025-12-17,normal,41.09,89.96,0.0,0.0,1,96
2025-12-18,normal,45.93,91.1,0.0,0.0,1,96
2025-12-19,normal,44.1,93.09,0.0,0.0,1,96
2025-12-20,normal,39.41,92.65,0.0,0.0,1,49
