date,label,avg_temp_F,avg_humidity,pct_day_brooding,pct_day_failing,alive,total_readings
2025-11-08,normal,64.27,66.01,0.0,0.0,1,48
2025-11-09,normal,58.31,75.98,0.0,0.0,1,96
2025-11-10,normal,48.1,77.31,0.0,0.0,1,96
2025-11-11,normal,44.95,78.78,0.0,0.0,1,96
2025-11-12,normal,48.5,81.0,0.0,0.0,1,96
2025-11-13,normal,51.14,81.92,0.0,0.0,1,96
2025-11-14,normal,57.81,83.08,0.0,0.0,1,96
2025-11-15,normal,69.47,83.66,0.0,0.0,1,96
2025-11-16,normal,63.35,79.71,0.0,0.0,1,96
2025-11-17,normal,55.59,76.45,0.0,0.0,1,96
2025-11-18,normal,53.94,78.13,0.0,0.0,1,96
2025-11-19,normal,52.81,84.48,0.0,0.0,1,96
2025-11-20,normal,52.9,88.0,0.0,0.0,1,96
2025-11-21,normal,54.48,90.09,0.0,0.0,1,96
2025-11-22,normal,52.36,91.79,0.0,0.0,1,96
2025-11-23,normal,51.2,93.36,0.0,0.0,1,96
2025-11-24,normal,49.95,94.13,0.0,0.0,1,96
2025-11-25,normal,55.52,94.99,0.0,0.0,1,96
2025-11-26,normal,50.64,95.48,0.0,0.0,1,96
2025-11-27,normal,42.78,95.32,0.0,0.0,1,96
2025-11-28,normal,38.72,94.61,0.0,0.0,1,96
2025-11-29,normal,38.43,94.18,0.0,0.0,1,96
2025-11-30,normal,38.65,94.68,0.0,0.0,1,96
2025-12-01,normal,35.89,94.35,0.0,0.0,1,96
2025-12-02,normal,37.02,94.34,0.0,0.0,1,96
2025-12-03,normal,34.75,94.48,0.0,0.0,1,96
2025-12-04,normal,35.96,94.79,0.0,0.0,1,96
2025-12-05,normal,33.06,94.68,0.0,0.0,1,96
2025-12-06,normal,38.84,95.95,0.0,0.0,1,96
2025-12-07,normal,40.55,95.89,0.0,0.0,1,96
2025-12-08,normal,37.03,95.6,0.0,0.0,1,72
