date,label,avg_temp_F,avg_humidity,pct_day_brooding,pct_day_failing,alive,total_readings
2025-11-08,normal,66.56,65.79,0.0,0.0,1,48
2025-11-09,normal,64.77,70.16,0.0,0.0,1,96
2025-11-10,normal,50.76,69.7,0.0,0.0,1,96
2025-11-11,normal,46.09,70.43,0.0,0.0,1,96
2025-11-12,normal,49.02,73.54,0.0,0.0,1,96
2025-11-13,normal,52.46,74.75,0.0,0.0,1,96
2025-11-14,normal,61.97,76.53,0.0,0.0,1,96
2025-11-15,normal,80.64,73.51,0.0,0.0,1,96
2025-11-16,normal,72.96,66.06,0.0,0.0,1,96
2025-11-17,normal,60.3,69.31,0.0,0.0,1,96
2025-11-18,normal,57.87,75.28,0.0,0.0,1,96
2025-11-19,normal,58.19,80.51,0.0,0.0,1,96
2025-11-20,normal,62.01,81.92,0.0,0.0,1,96
2025-11-21,normal,63.75,80.88,0.0,0.0,1,96
2025-11-22,normal,59.15,81.55,0.0,0.0,1,96
2025-11-23,normal,57.93,82.81,0.0,0.0,1,96
2025-11-24,normal,60.22,82.23,0.0,0.0,1,96
2025-11-25,normal,62.43,82.97,0.0,0.0,1,96
2025-11-26,normal,67.11,79.8,0.0,0.0,1,96
2025-11-27,normal,60.89,75.88,0.0,0.0,1,96
2025-11-28,normal,51.66,79.51,0.0,0.0,1,96
2025-11-29,normal,46.44,80.09,0.0,0.0,1,96
2025-11-30,normal,45.66,81.54,0.0,0.0,1,96
2025-12-01,normal,42.47,81.92,0.0,0.0,1,96
2025-12-02,normal,43.8,82.44,0.0,0.0,1,96
2025-12-03,normal,42.01,82.11,0.0,0.0,1,96
2025-12-04,normal,43.58,82.93,0.0,0.0,1,96
2025-12-05,normal,40.59,82.05,0.0,0.0,1,96
2025-12-06,normal,46.12,83.24,0.0,0.0,1,96
2025-12-07,normal,46.75,82.8,0.0,0.0,1,96
2025-12-08,normal,44.59,82.22,0.0,0.0,1,96
2025-12-09,normal,44.3,82.13,0.0,0.0,1,96
2025-12-10,normal,48.23,85.08,0.0,0.0,1,96
2025-12-11,normal,46.11,85.87,0.0,0.0,1,96
2025-12-12,normal,46.14,85.92,0.0,0.0,1,96
2025-12-13,normal,46.43,86.25,0.0,0.0,1,96
2025-12-14,normal,39.29,82.57,0.0,0.0,1,96
2025-12-15,normal,36.53,82.02,0.0,0.0,1,96
2025-12-16,normal,40.5,84.4,0.0,0.0,1,96
2025-12-17,normal,46.6,86.01,0.0,0.0,1,96
2025-12-18,normal,51.63,87.96,0.0,0.0,1,96
2025-12-19,normal,47.96,89.57,0.0,0.0,1,96
2025-12-20,normal,40.81,88.65,0.0,0.0,1,49
