date,label,avg_temp_F,avg_humidity,pct_day_brooding,pct_day_failing,alive,total_readings
2025-11-08,normal,64.33,66.27,0.0,0.0,1,48
2025-11-09,normal,59.21,72.47,0.0,0.0,1,96
2025-11-10,normal,46.93,73.69,0.0,0.0,1,96
2025-11-11,normal,44.25,74.52,0.0,0.0,1,96
2025-11-12,normal,48.11,75.83,0.0,0.0,1,96
2025-11-13,normal,51.65,76.54,0.0,0.0,1,96
2025-11-14,normal,60.15,77.41,0.0,0.0,1,96
2025-11-15,normal,75.01,77.3,0.0,0.0,1,96
2025-11-16,normal,67.18,74.7,0.0,0.0,1,96
2025-11-17,normal,56.46,73.62,0.0,0.0,1,96
2025-11-18,normal,54.81,77.36,0.0,0.0,1,96
2025-11-19,normal,55.23,85.4,0.0,0.0,1,96
2025-11-20,normal,59.52,86.49,0.0,0.0,1,96
2025-11-21,normal,61.73,87.29,0.0,0.0,1,96
2025-11-22,normal,56.54,89.17,0.0,0.0,1,96
2025-11-23,normal,54.55,90.15,0.0,0.0,1,96
2025-11-24,normal,54.4,90.98,0.0,0.0,1,96
2025-11-25,normal,58.33,92.41,0.0,0.0,1,96
2025-11-26,normal,57.52,91.41,0.0,0.0,1,96
2025-11-27,normal,48.8,90.84,0.0,0.0,1,96
2025-11-28,normal,43.32,90.74,0.0,0.0,1,96
2025-11-29,normal,42.21,90.8,0.0,0.0,1,96
2025-11-30,normal,42.12,90.79,0.0,0.0,1,96
2025-12-01,normal,39.08,90.3,0.0,0.0,1,96
2025-12-02,normal,40.61,90.34,0.0,0.0,1,96
2025-12-03,normal,38.77,89.85,0.0,0.0,1,96
2025-12-04,normal,39.79,89.68,0.0,0.0,1,96
2025-12-05,normal,36.49,89.05,0.0,0.0,1,96
2025-12-06,normal,42.57,89.42,0.0,0.0,1,96
2025-12-07,normal,43.25,89.32,0.0,0.0,1,96
2025-12-08,normal,40.27,88.16,0.0,0.0,1,72
