date,label,avg_temp_F,avg_humidity,pct_day_brooding,pct_day_failing,alive,total_readings
2025-11-08,normal,61.01,61.23,0.0,0.0,1,48
2025-11-09,normal,56.09,72.25,0.0,0.0,1,96
2025-11-10,normal,46.54,74.75,0.0,0.0,1,96
2025-11-11,normal,42.76,75.93,0.0,0.0,1,96
2025-11-12,normal,45.07,78.28,0.0,0.0,1,96
2025-11-13,normal,48.24,80.09,0.0,0.0,1,96
2025-11-14,normal,55.62,81.33,0.0,0.0,1,96
2025-11-15,normal,67.23,80.54,0.0,0.0,1,96
2025-11-16,normal,64.62,75.9,0.0,0.0,1,96
2025-11-17,normal,58.06,74.5,0.0,0.0,1,96
2025-11-18,normal,54.63,78.14,0.0,0.0,1,96
2025-11-19,normal,53.08,97.24,0.0,0.0,1,96
2025-11-20,normal,55.91,99.39,0.0,0.0,1,96
2025-11-21,normal,57.65,99.9,0.0,0.0,1,96
2025-11-22,normal,56.05,99.9,0.0,0.0,1,96
2025-11-23,normal,53.1,99.9,0.0,0.0,1,71
2025-11-30,normal,41.64,99.9,0.0,0.0,1,34
2025-12-01,normal,40.2,99.9,0.0,0.0,1,96
2025-12-02,normal,40.66,99.9,0.0,0.0,1,96
2025-12-03,normal,39.56,99.9,0.0,0.0,1,96
2025-12-04,normal,39.68,99.9,0.0,0.0,1,96
2025-12-05,normal,37.61,99.9,0.0,0.0,1,96
2025-12-06,normal,40.49,99.9,0.0,0.0,1,96
2025-12-07,normal,42.47,99.9,0.0,0.0,1,96
2025-12-08,normal,40.95,99.9,0.0,0.0,1,96
2025-12-09,normal,40.0,99.9,0.0,0.0,1,96
2025-12-10,normal,43.66,99.9,0.0,0.0,1,96
2025-12-11,normal,41.81,99.88,0.0,0.0,1,96
2025-12-12,normal,41.39,99.85,0.0,0.0,1,96
2025-12-13,normal,40.63,99.55,0.0,0.0,1,96
2025-12-14,normal,34.9,96.92,0.0,0.0,1,96
2025-12-15,normal,32.04,96.6,0.0,0.0,1,96
2025-12-16,normal,36.41,98.65,0.0,0.0,1,96
2025-12-17,normal,41.67,99.67,0.0,0.0,1,96
2025-12-18,normal,45.9,99.81,0.0,0.0,1,96
2025-12-19,normal,43.19,98.53,0.0,0.0,1,96
2025-12-20,normal,40.02,97.87,0.0,0.0,1,49
